LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA33800,4551,4308,8859,150,175,324,13,15,24,11,9,16,292,266,561,6,3,4,8,8,14,0,0,0,8,0,7,0,0,0,0,0,0,336,305,639,4,14,25,11,6,9,502,492,997,465,484,951,5518,5285,10808
LGA33830,425,361,783,6,8,13,0,0,0,0,0,0,16,10,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,14,27,0,0,3,0,3,5,23,20,45,44,27,65,491,412,899
LGA33960,69326,71004,140328,2798,2876,5670,744,749,1493,268,240,510,11326,12075,23399,129,129,263,162,153,310,52,50,99,173,133,304,70,71,142,7,0,7,12925,13599,26521,748,817,1568,338,285,626,16803,17575,34377,8156,7889,16047,94289,96465,190752
LGA33980,7261,6194,13455,798,846,1639,50,57,108,22,32,51,960,876,1835,15,8,14,25,28,52,6,6,8,11,13,21,0,0,0,0,0,0,1078,1006,2084,41,62,109,16,20,38,1939,1932,3869,2025,1214,3240,11227,9344,20567
LGA34420,405,445,843,5,7,15,3,0,4,0,0,3,15,26,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,41,0,3,3,0,0,0,21,36,59,17,8,26,443,486,930
LGA34530,13340,13226,26565,875,957,1829,73,74,147,43,40,88,1407,1426,2832,14,16,34,23,19,48,6,14,17,15,15,32,6,5,11,0,0,0,1595,1608,3200,77,75,147,38,40,81,2591,2677,5264,2508,1581,4092,18437,17484,35916
LGA34570,286,308,592,6,0,8,3,3,7,0,0,0,14,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,36,0,0,0,7,7,8,24,23,46,35,25,56,348,357,703
LGA34580,14322,14271,28592,826,892,1718,104,106,207,30,32,60,1499,1658,3162,11,6,24,13,17,30,9,9,12,5,3,13,3,3,8,0,0,0,1676,1839,3515,234,274,509,38,53,94,2779,3061,5834,1990,1790,3786,19098,19119,38212
LGA34590,112169,114643,226809,3331,3428,6765,804,772,1580,358,322,686,16326,17146,33469,106,108,212,170,147,319,72,62,137,60,59,117,52,34,86,3,0,0,17957,18658,36612,1622,1809,3429,523,407,929,23425,24304,47731,12228,12467,24696,147825,151409,299236
LGA34710,1319,1362,2683,106,121,223,5,9,21,0,8,6,127,145,269,0,3,3,5,3,6,0,0,3,3,3,9,0,0,0,0,0,0,148,176,322,10,9,17,9,9,19,269,309,580,177,177,355,1770,1852,3618
LGA34770,43144,42289,85434,1850,2008,3854,233,275,510,114,144,256,5351,5856,11211,45,46,94,111,104,214,42,43,85,38,38,70,11,11,26,0,0,0,5949,6511,12458,223,315,541,158,139,294,8183,8970,17149,6186,4725,10911,57510,55984,113496
LGA34800,327,281,612,11,14,24,4,0,4,0,3,3,36,23,64,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,43,34,79,0,4,8,0,0,0,56,54,108,39,30,66,429,360,785
LGA34830,116,128,246,9,3,15,0,0,0,0,0,0,16,9,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,16,28,0,0,0,0,0,0,25,20,41,4,9,14,144,155,299
LGA34860,4735,4437,9172,431,440,874,33,35,70,8,8,15,436,488,923,0,0,0,4,5,9,0,0,0,0,4,4,0,0,0,0,0,0,486,541,1030,10,21,34,10,4,17,946,1009,1956,749,622,1376,6432,6075,12505
LGA34880,7820,7633,15456,444,507,949,27,37,56,13,16,30,607,633,1239,10,6,12,19,19,41,5,0,5,23,32,54,0,3,7,0,3,3,702,748,1457,105,90,203,27,25,55,1289,1371,2659,2108,1141,3248,11211,10147,21357
LGA35010,156314,162975,319290,6100,6859,12964,1316,1431,2741,541,595,1133,21595,23266,44861,189,181,375,271,282,558,107,93,199,203,177,387,110,115,226,6,3,12,24340,26153,50492,1643,1904,3550,647,542,1192,32733,35464,68194,16468,16254,32719,205509,214688,420200
LGA35250,464,482,951,12,13,29,0,0,0,0,0,0,32,26,57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,40,30,65,0,0,4,24,24,45,73,66,142,17,19,39,558,572,1124
LGA35300,6540,5974,12514,985,1022,2006,40,48,86,13,22,33,380,450,828,15,11,24,21,23,43,9,3,7,20,32,53,0,0,0,0,0,0,495,587,1079,65,79,146,22,24,49,1565,1715,3280,1371,1172,2544,9481,8867,18345
LGA35600,1650,1634,3279,124,157,283,16,16,30,6,3,9,109,139,246,5,3,4,3,0,6,0,0,0,5,9,13,0,0,0,0,0,0,143,166,308,13,13,22,10,3,9,286,341,626,153,180,332,2088,2155,4238
LGA35670,469,429,893,0,5,7,0,0,0,0,0,0,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,0,0,0,0,0,0,10,20,26,13,8,19,483,448,933
LGA35740,18927,20061,38989,1001,1059,2058,275,321,599,200,228,425,2083,2313,4400,36,48,84,69,83,154,17,17,37,22,24,47,11,13,22,3,0,3,2721,3051,5775,262,281,539,71,82,156,4062,4476,8532,2181,2111,4294,25168,26650,51810
LGA35760,3963,3836,7800,244,270,515,14,9,23,12,5,13,277,285,565,3,3,8,3,0,7,0,0,0,8,3,11,0,0,0,0,0,0,312,307,624,78,48,124,10,14,18,639,640,1280,703,607,1312,5304,5081,10386
LGA35780,1167,1253,2416,24,28,50,3,0,3,0,0,0,69,57,124,5,0,5,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,81,62,142,3,3,6,6,15,20,107,109,213,58,44,102,1327,1406,2736
LGA35790,1075,1094,2167,4,7,9,3,3,3,0,0,0,64,73,137,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,68,77,145,0,0,3,14,3,14,84,90,172,19,13,35,1172,1195,2374
LGA35800,646,648,1300,32,37,68,3,8,8,3,0,3,41,41,83,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,52,51,107,0,5,3,0,0,0,83,93,177,70,73,144,807,814,1620
LGA36070,333,340,679,5,5,13,0,0,0,0,0,0,11,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,34,0,6,6,3,0,5,18,28,52,10,4,11,367,375,741
LGA36150,342,302,643,15,19,33,3,3,3,0,0,0,31,20,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,58,0,0,0,0,0,4,52,44,104,33,24,50,426,373,797
LGA36250,55901,58192,114090,1924,2067,3988,426,471,902,167,194,359,7110,7545,14653,70,50,126,97,94,189,20,22,48,48,42,90,30,24,57,3,0,3,7978,8445,16420,486,538,1026,176,166,342,10562,11216,21779,4785,4906,9688,71243,74313,145561
LGA36300,292,269,558,19,24,47,4,4,9,0,0,0,47,36,83,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,54,37,95,0,5,5,0,3,3,77,69,144,42,38,75,404,370,778
LGA36370,29381,29988,59371,1107,1252,2356,132,123,259,65,80,142,4019,4511,8532,15,21,35,39,47,79,8,13,24,30,34,69,3,3,7,0,0,0,4323,4836,9154,205,248,454,156,156,312,5789,6489,12280,3750,3318,7070,38923,39797,78719
LGA36510,14991,15553,30542,933,1065,1998,153,152,301,50,45,92,1361,1472,2834,16,16,31,22,25,50,7,7,12,17,17,37,3,3,9,0,0,0,1632,1738,3374,89,105,190,56,46,102,2706,2957,5661,1888,1650,3537,19585,20157,39744
LGA36580,9384,9231,18621,535,550,1082,62,60,124,9,21,37,915,983,1899,12,20,29,13,11,19,4,4,13,10,19,29,4,0,4,0,0,0,1031,1120,2146,60,50,112,39,20,59,1664,1735,3402,1197,1116,2319,12246,12084,24333
LGA36630,12181,12174,24352,871,959,1825,57,51,111,11,10,23,1200,1286,2485,11,12,20,12,13,23,6,10,8,10,12,18,0,7,8,0,0,0,1308,1401,2708,41,42,82,50,59,105,2270,2459,4723,1509,1297,2808,15957,15928,31885
LGA36660,13461,13794,27256,904,1051,1953,121,136,255,15,25,36,1120,1150,2267,8,10,18,17,17,28,3,3,9,12,9,18,3,6,11,0,0,0,1302,1347,2648,71,86,150,44,44,90,2311,2523,4842,1337,1308,2639,17109,17622,34737
LGA36720,103243,111063,214305,4734,5183,9916,1161,1295,2456,665,727,1391,16550,18143,34689,184,168,353,286,288,582,128,138,271,138,140,281,101,117,214,3,3,4,19213,21031,40244,1388,1644,3032,419,364,782,25753,28216,53972,11543,11767,23312,140545,151047,291590
LGA36820,9289,9537,18830,529,625,1148,34,35,66,18,16,35,847,921,1771,6,6,12,34,26,55,5,11,14,34,32,64,7,3,3,0,0,0,988,1045,2030,73,78,150,48,53,103,1634,1799,3435,1181,1162,2346,12105,12507,24607
LGA36910,57670,61210,118876,2472,2660,5130,483,503,983,143,135,279,8639,9362,17998,53,56,107,83,85,161,21,37,53,93,81,173,36,36,71,0,0,0,9544,10289,19838,622,626,1246,212,185,395,12847,13759,26607,6650,6741,13389,77172,81705,158875
LGA36950,1246,1256,2503,60,77,133,10,13,24,0,6,11,135,136,277,0,0,0,3,3,10,3,0,3,5,4,10,7,4,10,0,0,0,162,175,336,4,13,15,54,50,101,283,301,587,228,240,468,1762,1804,3567
LGA36960,1860,1806,3664,44,47,95,0,0,0,0,0,3,156,159,312,3,3,5,7,3,11,0,0,0,3,0,5,0,0,0,0,0,0,168,171,340,3,4,5,58,61,121,274,283,556,107,94,205,2247,2188,4430
LGA37010,65589,66374,131963,2690,2944,5634,783,710,1492,552,503,1059,10833,11612,22445,165,174,337,195,207,398,81,75,154,241,207,442,127,120,244,3,0,3,12974,13607,26582,686,840,1521,296,237,534,16649,17623,34274,9832,8286,18121,92073,92277,184354
LGA37300,1412,1226,2639,196,153,351,8,9,21,10,11,17,148,132,286,6,0,6,20,22,41,3,7,10,4,5,11,4,0,6,0,0,0,197,187,382,16,4,17,5,9,12,412,349,768,244,194,435,2065,1774,3839
LGA37310,12136,11597,23737,1213,1219,2435,104,97,203,26,31,50,1162,1152,2315,19,16,30,20,22,42,7,5,12,15,19,31,3,6,9,0,0,0,1346,1348,2690,58,81,140,39,46,90,2653,2692,5351,2100,1825,3925,16898,16118,33012
LGA37340,11792,10890,22686,1167,1238,2398,191,191,385,110,143,256,1036,1064,2102,35,32,67,47,61,106,20,16,35,19,24,39,14,8,20,0,0,0,1469,1541,3008,277,281,559,32,28,68,2949,3088,6032,2570,2117,4687,17308,16092,33404
LGA37400,441,409,851,28,24,56,10,3,9,0,0,0,41,32,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,34,85,0,0,4,4,0,3,85,62,151,61,56,122,584,531,1117
LGA37550,385,417,805,10,4,14,0,0,0,0,0,0,33,44,73,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,44,76,0,0,0,8,9,18,53,57,114,20,10,32,455,484,944
LGA37570,120,142,260,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,3,4,7,4,0,7,129,149,276
LGA37600,1169,1170,2342,3,5,11,0,0,0,0,0,0,39,37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,37,74,0,0,4,8,13,27,55,61,113,28,32,60,1260,1264,2521
LGA39499,1610,1127,2737,558,343,903,308,318,619,171,192,367,1677,1520,3196,48,57,106,161,146,306,28,35,59,54,41,100,7,14,25,3,0,3,2455,2331,4783,436,549,983,148,97,243,3598,3312,6907,1702,1098,2805,6908,5543,12454
LGA39799,52,57,102,0,0,0,3,0,5,0,0,0,4,4,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,21,0,6,3,0,0,0,6,17,22,6,17,21,66,84,152
