LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA35250,49,113,4,8,3,31,16,121,60,271,85,430,0,7,0,3,6,36,7,44,95,473,3,17,0,12,10,61,51,174,72,262,4,10,0,0,19,51,20,66,93,326,13,24,247,934
LGA35300,1558,3082,37,202,166,773,97,462,1320,5140,1615,6575,52,208,89,261,243,784,387,1255,1999,7832,14,63,45,180,49,225,384,1114,500,1585,24,84,47,90,220,479,291,655,789,2242,67,141,4413,13296
LGA35600,492,958,4,30,39,187,17,60,280,1070,337,1347,9,21,15,48,70,215,93,283,432,1634,0,6,10,49,12,41,80,235,100,330,4,9,11,23,56,110,67,145,164,471,10,19,1100,3087
LGA35670,31,71,3,25,3,14,15,94,63,298,84,432,0,5,4,10,13,47,14,61,104,491,6,25,0,0,10,33,33,104,43,164,0,0,0,0,25,65,22,67,64,232,14,34,215,831
LGA35740,7243,14233,67,367,528,2350,142,608,2725,10522,3464,13845,183,710,441,1376,991,3016,1610,5112,5079,18954,22,101,157,525,90,303,885,2313,1151,3242,79,258,222,467,814,1691,1119,2411,2267,5652,118,247,14712,39094
LGA35760,1314,2604,21,101,97,427,37,171,523,2088,671,2789,22,99,62,183,153,476,247,762,919,3549,4,23,29,95,10,34,160,464,206,618,5,21,23,44,95,201,119,261,327,876,39,91,2599,7116
LGA35780,89,179,19,126,20,131,26,156,183,897,253,1309,0,4,0,12,28,90,28,99,281,1413,13,94,9,25,24,95,116,395,161,611,3,14,6,13,29,82,44,106,204,716,23,72,598,2380
LGA35790,69,142,5,61,12,74,29,201,118,593,166,928,3,15,4,7,37,146,43,167,206,1093,4,40,3,19,38,197,97,345,148,607,0,7,3,7,52,202,58,213,200,815,27,62,496,2121
LGA35800,183,368,0,6,11,48,7,16,60,238,73,305,0,3,3,7,31,83,34,104,110,403,0,3,3,24,6,29,47,154,64,211,0,0,0,3,23,49,29,51,88,265,6,19,395,1057
LGA36070,58,127,3,27,0,8,7,42,50,190,61,264,0,0,0,3,8,26,10,32,72,297,3,11,0,4,7,24,32,114,39,148,0,0,0,0,13,34,13,34,55,183,12,39,196,646
LGA36150,94,181,0,0,7,21,3,10,57,207,60,241,3,3,3,8,15,35,20,47,77,290,0,0,0,3,0,5,13,47,16,57,0,0,0,0,8,17,8,19,29,78,0,0,201,545
LGA36250,16302,32434,336,1837,1817,8329,544,2417,9149,35695,11851,48278,1069,4375,1639,5559,3693,11607,6397,21540,18243,69824,83,359,415,1475,212,719,2501,6716,3209,9276,277,865,612,1370,2212,4765,3104,7005,6310,16280,463,972,41327,119513
LGA36300,93,192,0,9,0,0,4,14,49,182,57,211,0,7,3,7,13,30,15,39,69,251,0,0,3,11,0,4,11,38,18,53,0,0,0,3,14,26,14,27,33,77,3,4,202,528
LGA36370,7593,14873,161,915,774,3617,296,1316,4738,18455,5962,24302,331,1320,517,1636,1474,4586,2322,7548,8283,31848,58,288,278,1065,162,574,1845,5259,2337,7183,129,406,266,584,1300,2746,1698,3730,4032,10912,368,765,20277,58396
LGA36510,4873,9671,98,569,446,2150,170,766,2195,8741,2909,12229,194,777,330,1070,873,2706,1388,4555,4296,16778,27,110,110,404,52,194,707,1979,894,2684,48,147,141,307,534,1142,723,1600,1614,4282,119,242,10901,30976
LGA36580,2853,5687,42,256,249,1195,102,481,1349,5473,1751,7409,103,420,161,499,489,1504,749,2431,2500,9840,17,71,86,315,41,168,510,1503,653,2052,35,100,63,141,326,708,421,953,1069,3004,81,174,6508,18705
