LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA35600,547,0,0,14,9,580,435,0,0,9,3,445,147,3,13,0,0,164,44,10,11,0,0,68,116,3,3,4,0,130,3,10,0,0,0,15,87,5,9,0,0,98,28,3,0,0,0,32,421,41,28,3,0,498,23,0,0,0,0,25,61,0,3,0,0,69,1484,48,38,31,14,1611
LGA35670,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,177,33,0,0,0,214,0,0,0,0,0,0,9,7,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,192,42,0,3,0,232,0,0,0,0,0,0,0,0,0,0,0,0,189,40,0,9,0,235
LGA35740,6591,839,359,63,27,7879,5682,374,210,20,39,6325,1967,594,512,6,16,3101,165,41,120,0,0,326,942,254,173,10,17,1395,11,8,0,0,0,24,74,11,12,25,14,133,79,20,17,8,5,116,3234,924,823,45,54,5087,109,192,14,3,3,324,354,101,42,10,28,527,15965,2436,1452,145,146,20143
LGA35760,1600,0,0,73,5,1686,905,0,3,22,10,937,264,5,24,0,0,294,58,13,15,0,0,89,345,0,7,10,3,365,17,0,18,0,0,37,163,0,8,48,0,219,60,0,3,8,0,67,902,26,75,66,11,1082,40,0,0,3,0,37,126,4,13,24,3,173,3569,31,96,191,30,3916
LGA35780,5,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,437,32,15,4,0,488,8,0,0,4,0,7,35,3,0,0,0,39,50,10,8,10,0,68,7,0,0,0,0,8,535,50,18,14,0,617,0,0,0,0,0,0,21,3,3,8,4,37,567,47,21,32,4,676
LGA35790,3,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,371,16,22,0,0,411,0,0,0,0,0,0,13,0,0,0,0,13,6,8,7,0,0,27,3,3,0,0,0,5,393,26,27,0,0,455,3,0,0,4,0,4,4,3,0,0,0,7,397,34,27,19,0,483
LGA35800,264,3,0,9,7,280,111,0,0,0,3,117,4,0,0,0,0,4,59,10,0,0,0,71,60,0,0,3,3,66,6,3,0,0,0,9,34,0,0,0,3,41,18,0,0,0,0,20,186,14,4,7,6,211,6,0,0,0,0,6,28,0,0,0,0,28,598,15,4,16,15,647
LGA36070,4,0,0,0,0,4,4,0,0,3,0,8,0,0,0,0,0,0,133,0,28,0,0,161,3,0,0,3,0,5,12,0,4,0,0,21,9,0,5,0,0,16,0,0,0,0,0,0,164,0,36,3,0,202,3,0,0,0,0,3,3,0,0,0,0,7,175,0,36,6,0,218
LGA36150,103,0,0,3,0,104,79,0,0,0,0,79,0,0,0,0,0,0,12,0,3,0,0,9,34,0,0,0,0,39,3,0,0,0,0,4,34,0,3,0,0,43,14,0,0,0,0,11,90,0,10,0,0,109,12,0,0,0,0,12,8,0,9,0,0,24,288,0,25,8,0,319
LGA36250,14646,1169,579,261,40,16692,19723,831,242,13,39,20848,6046,1332,469,14,30,7889,526,515,382,3,3,1433,2224,390,147,10,30,2800,73,86,155,3,13,329,107,39,24,44,4,212,126,31,17,3,7,184,9110,2392,1184,79,87,12852,186,367,276,3,4,842,895,169,87,20,51,1222,44559,4931,2362,370,223,52446
