LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA33620,7,17,112,0,39,96,271,3,37,9,7,15,0,73,41,103,108,5,30,3,295,218,56,218,22,32,11,554,250,30,240,9,26,5,565,880,32,418,18,47,5,1401,1066,7,285,6,23,5,1394,177,3,72,0,8,0,264,13,0,11,0,0,0,30,4,0,9,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,5,39,21,57,4,30,7,158,2708,313,1552,78,251,139,5037
LGA33800,0,9,49,0,32,51,141,3,5,10,0,3,0,23,25,31,72,19,13,6,158,87,32,85,8,10,3,224,68,7,44,6,4,0,141,137,9,38,0,3,4,190,70,0,28,0,4,0,104,12,0,4,0,0,3,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,8,0,37,418,99,348,43,73,69,1040
LGA33830,0,51,0,0,8,0,64,0,25,0,3,0,0,28,0,60,0,8,0,0,68,0,30,0,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,174,0,17,7,0,205
LGA33960,21,73,183,14,24,106,422,11,142,14,8,7,0,180,54,531,131,66,36,9,832,170,420,210,85,106,12,1004,329,183,292,42,73,10,927,2454,419,880,105,562,23,4435,7586,228,1289,77,225,45,9447,5755,21,571,12,75,34,6466,573,4,87,0,25,3,696,138,0,15,0,4,4,164,36,0,3,0,0,0,43,17,0,0,0,0,0,22,0,0,3,0,0,0,8,21,0,3,0,0,0,29,241,133,121,29,43,32,597,17406,2145,3802,437,1184,271,25256
LGA33980,35,30,63,0,1514,98,1736,5,20,11,0,210,3,248,60,29,25,8,167,0,287,204,15,55,3,45,0,328,171,10,45,3,23,4,262,275,10,38,0,7,0,328,222,0,43,3,25,0,296,137,0,18,0,15,3,171,39,0,3,0,5,0,48,13,0,0,0,3,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29,3,20,3,141,9,206,1192,119,325,19,2153,117,3928
LGA34420,0,39,0,103,9,3,147,0,14,0,19,8,0,34,0,21,0,6,3,0,32,0,7,0,0,0,0,10,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,84,0,126,21,3,233
LGA34530,3,10,87,11,19,59,196,3,25,8,18,4,0,54,24,65,45,21,13,3,169,35,43,81,25,26,3,216,47,8,84,12,11,3,173,249,9,106,4,21,0,391,667,4,206,0,18,3,894,661,0,141,0,12,4,818,144,0,40,0,3,0,188,14,0,3,0,0,0,22,3,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,5,26,13,28,5,11,3,86,1892,183,826,96,147,85,3226
LGA34570,0,15,0,0,9,3,30,0,13,0,0,0,0,12,0,39,0,5,0,0,47,0,16,0,0,0,0,19,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,19,0,111,0,8,12,0,140
LGA34580,6,12,70,0,26,46,158,3,11,8,8,4,0,29,22,52,49,0,14,3,145,52,28,81,13,15,5,190,98,9,98,5,21,0,224,445,19,169,3,40,3,680,903,3,218,0,28,8,1158,330,0,84,0,12,3,425,39,0,10,0,0,0,55,5,0,10,0,0,0,20,0,0,6,0,0,0,8,5,0,0,0,0,0,7,5,0,0,0,0,0,5,7,0,0,0,0,0,4,39,9,29,4,7,11,97,1961,145,835,34,160,71,3206
LGA34590,57,213,254,11,58,165,754,9,332,21,4,4,0,365,67,1069,128,26,39,7,1336,136,933,189,47,116,11,1436,209,305,236,15,77,11,859,1812,377,530,38,118,25,2893,7409,299,1776,97,263,68,9912,9296,60,1731,44,170,53,11356,1557,10,358,7,23,13,1971,367,0,75,0,8,0,459,102,0,23,0,3,0,134,24,4,13,0,0,0,43,11,3,0,0,0,0,20,18,3,9,3,3,0,35,334,200,210,27,54,43,869,21420,3811,5546,312,938,413,32434
