LGA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
LGA34770,184,108,72,25,16,0,405,28,22,9,4,10,0,75,71,38,30,16,16,3,178,59,38,36,9,8,0,157,116,89,63,15,18,9,304,182,157,100,21,40,9,508,200,226,111,32,33,3,610,291,317,133,70,59,8,884,267,335,110,63,54,10,839,371,540,181,84,50,4,1222,289,457,117,48,30,3,943,496,797,214,81,49,8,1644,219,442,100,43,10,3,824,168,321,58,24,7,0,574,350,743,175,49,37,11,1365,373,625,206,38,33,5,1282,111,177,48,7,11,0,354,53,104,30,9,7,3,202,206,180,100,27,26,12,549,4032,5715,1902,660,522,90,12923
LGA34800,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,10,15,4,0,3,0,32
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA34860,55,30,19,3,4,0,106,4,4,0,0,3,0,9,15,8,0,0,0,0,23,7,7,8,3,3,0,25,15,19,3,0,0,0,45,31,34,7,3,5,0,82,23,46,10,8,3,0,91,37,32,9,4,3,0,88,15,42,3,4,0,3,66,26,56,7,5,4,0,96,18,29,9,3,0,0,60,27,42,5,0,0,0,82,3,14,4,0,0,0,24,10,20,3,0,0,0,28,8,39,9,0,0,0,49,20,40,3,0,0,0,62,3,15,0,0,0,0,21,15,9,3,0,0,0,25,29,31,15,4,0,0,82,347,527,128,44,20,3,1070
LGA34880,31,10,10,8,8,0,60,3,3,5,0,0,0,12,28,6,5,3,4,0,47,13,11,3,4,6,0,42,30,23,17,10,9,0,87,51,45,9,11,8,0,123,40,69,27,15,12,0,155,55,84,25,9,6,3,185,51,74,24,11,9,0,169,53,79,21,15,4,0,178,37,50,11,3,0,0,102,75,81,23,9,0,0,190,24,33,8,3,4,0,69,14,24,0,3,0,0,38,34,51,13,3,0,0,98,35,42,13,6,3,0,102,13,15,9,0,0,0,38,4,8,3,0,0,0,25,41,32,14,3,0,0,83,624,735,234,115,81,8,1799
LGA35010,643,293,281,63,94,20,1398,244,83,104,17,51,3,496,415,177,181,48,84,10,913,319,163,150,50,75,13,774,543,328,325,102,141,10,1457,649,564,435,165,215,25,2049,810,830,567,192,222,20,2644,1075,1357,662,311,311,30,3745,1171,1734,654,310,234,38,4143,1476,2453,798,351,288,29,5393,1155,2120,584,254,166,22,4302,1675,3201,994,269,221,43,6407,769,1669,424,113,76,7,3056,487,1063,300,69,49,9,1978,984,2059,668,129,137,21,4001,987,2006,681,144,112,20,3951,345,535,203,30,28,10,1149,157,298,108,24,17,0,600,567,716,401,118,134,32,1966,14469,21654,8518,2770,2651,359,50424
LGA35250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA35300,18,10,10,4,0,0,45,3,0,0,0,0,0,3,7,5,0,0,0,0,17,9,9,8,3,0,0,20,8,5,3,4,8,0,33,26,28,6,3,9,0,77,32,33,10,6,3,3,93,30,32,15,7,3,0,91,27,74,16,11,10,0,146,47,95,13,12,13,0,184,49,75,18,11,4,0,160,79,155,22,9,7,0,277,26,60,13,4,3,4,111,12,40,6,0,0,0,63,42,70,16,4,9,0,143,38,53,18,6,4,0,120,8,23,10,0,5,0,47,11,11,0,3,0,0,29,21,26,3,3,10,0,62,497,826,185,90,90,13,1702
LGA35600,26,3,3,0,3,0,35,3,0,0,0,0,0,6,14,6,0,3,3,0,23,7,9,0,0,0,0,16,14,15,3,4,0,0,39,14,14,4,3,3,0,43,13,23,6,0,0,0,46,8,9,3,0,3,0,29,3,18,0,0,0,0,19,7,11,0,0,0,0,16,0,9,3,0,0,0,17,9,5,3,0,0,0,21,3,3,0,0,0,0,11,0,0,0,0,0,0,4,3,6,0,0,0,0,10,3,0,3,0,0,0,5,0,0,0,0,0,0,0,5,3,0,0,0,0,7,3,4,0,4,0,0,18,146,143,39,19,17,3,369
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA35740,127,41,28,9,23,0,231,39,13,7,0,4,0,61,67,19,22,7,14,0,133,47,23,20,11,7,0,114,78,35,34,15,26,3,197,110,56,45,19,15,0,244,133,101,41,14,33,5,333,162,141,68,31,27,3,430,150,129,49,47,30,3,408,158,213,71,37,29,8,512,104,172,50,14,21,3,359,217,251,92,31,19,0,608,71,115,25,17,7,5,246,61,105,24,6,3,0,202,111,206,52,10,17,3,401,155,213,59,17,11,3,448,58,70,24,5,4,0,162,30,50,17,5,6,0,114,94,85,49,19,24,0,267,1974,2032,772,326,315,29,5459
LGA35760,32,10,14,0,0,0,61,11,0,0,0,0,0,16,18,5,0,0,3,0,28,22,15,0,5,3,0,36,33,21,12,5,12,0,79,33,30,10,12,3,0,88,34,39,15,4,0,0,91,18,38,14,4,3,0,79,17,24,5,3,0,0,52,9,21,8,0,0,0,38,4,14,5,0,0,0,23,10,28,9,0,3,0,49,6,6,0,0,0,0,21,9,3,0,0,0,0,15,3,6,6,0,0,0,13,8,13,5,0,0,0,24,0,4,0,0,0,0,8,3,7,7,0,0,0,20,19,23,6,4,0,0,54,291,307,98,44,33,4,784
LGA35780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA35800,8,9,3,0,0,0,24,3,3,0,0,0,0,10,3,5,0,3,0,0,13,0,0,0,0,0,0,5,3,4,0,0,0,0,6,0,0,0,0,0,0,3,0,6,0,0,0,0,5,0,0,0,0,0,0,7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,39,33,8,8,0,0,91
LGA36070,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,9
LGA36150,3,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,6,3,3,0,0,0,0,7,0,4,0,0,0,0,6,0,7,0,0,0,0,6,5,3,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,27,20,5,3,0,0,57
