LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA34880,62,47,105,45,30,70,47,177,228,48,276,332,214,468,679,166,219,388,541,189,733,390,191,581,521,168,688,435,107,537,338,68,406,303,36,337,525,56,575,336,12,344,194,4,199,95,17,114,148,9,158,628,52,678,113,144,254,5158,2248,7408
LGA35010,728,728,1454,452,373,825,633,1566,2201,670,2870,3540,2696,6749,9444,3145,3800,6941,8696,2800,11497,7253,3353,10602,9464,3300,12768,9498,2117,11615,7988,1618,9604,7961,1077,9043,15089,1377,16464,9981,247,10231,6230,122,6352,3817,439,4248,6782,92,6873,10031,734,10764,1501,1693,3192,112615,35045,147666
LGA35250,0,0,0,0,0,3,11,9,21,0,9,6,22,0,22,15,3,15,14,3,20,12,8,18,21,3,29,11,0,13,6,5,13,10,0,14,14,4,18,10,0,14,0,0,7,0,0,0,9,0,11,26,0,29,14,3,18,201,57,261
LGA35300,23,50,75,13,15,27,36,60,100,29,86,118,71,130,206,86,67,145,141,100,237,123,102,228,166,145,315,215,126,338,193,117,305,236,134,368,616,319,931,529,32,564,440,25,472,296,78,374,583,41,622,421,71,492,77,87,163,4298,1777,6078
LGA35600,17,12,30,9,4,13,9,31,38,10,62,74,37,123,167,30,48,77,83,36,123,76,45,123,87,36,121,90,20,112,46,12,65,70,15,84,138,18,158,81,0,86,50,0,51,25,3,28,47,0,48,122,7,130,48,42,95,1075,530,1611
LGA35670,0,0,0,0,3,7,9,15,17,5,3,10,24,6,30,21,7,21,21,7,28,23,0,23,18,3,19,19,3,24,6,0,6,6,0,6,19,0,18,3,0,3,3,0,3,4,0,5,5,0,5,6,0,6,0,0,0,188,45,235
LGA35740,132,149,282,73,71,149,121,328,451,98,485,584,458,1102,1562,444,656,1099,1323,521,1841,1140,478,1614,1434,461,1898,1331,283,1614,1020,239,1257,919,161,1081,1495,202,1702,946,30,969,574,18,593,352,116,474,776,20,791,1580,136,1716,200,263,469,14423,5724,20143
LGA35760,55,17,80,26,17,45,26,83,107,21,152,174,141,321,457,106,120,231,325,106,429,225,106,332,240,109,350,232,61,292,145,22,166,156,22,184,233,33,268,108,14,124,58,3,59,35,16,55,78,9,85,267,16,285,95,110,198,2572,1345,3916
LGA35780,0,7,3,0,0,5,3,7,12,16,16,29,27,12,37,37,10,49,53,17,63,51,10,59,60,7,69,68,18,85,33,7,39,24,0,23,61,7,60,30,0,30,12,0,17,11,5,18,10,0,10,36,3,39,0,12,16,530,145,676
LGA35790,0,4,4,0,3,5,10,20,33,4,9,7,36,4,37,23,3,23,26,11,32,52,5,62,39,3,42,40,4,49,33,0,33,29,0,28,44,0,51,17,0,17,16,0,16,4,0,4,4,5,10,28,0,28,3,0,9,405,79,483
