LGA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
LGA31900,0,0,0,0,530,530,14,4,0,0,469,482,294,15,12,0,520,846,573,47,61,3,314,990,726,47,140,16,268,1203,818,68,177,26,170,1268,707,54,146,64,71,1043,381,25,44,67,35,546,93,3,11,58,12,173,3606,263,591,232,2383,7079,0,0,0,0,501,501,47,5,3,0,375,428,371,19,25,4,406,824,622,43,73,3,212,958,771,58,142,23,150,1149,817,55,173,84,92,1220,658,25,92,168,35,979,289,9,22,269,18,603,39,0,11,241,3,293,3614,213,544,793,1802,6960,0,0,0,0,1031,1031,62,5,3,0,845,915,667,27,38,4,928,1673,1188,90,133,10,534,1946,1499,107,286,36,419,2349,1639,122,357,108,267,2493,1361,80,234,233,107,2023,664,31,64,339,54,1153,130,3,22,295,14,463,7217,478,1136,1027,4191,14039
LGA31950,0,0,0,0,12,12,0,0,0,0,14,14,7,0,0,0,16,26,11,0,0,0,12,33,7,0,3,0,11,22,19,3,5,0,9,32,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,60,4,10,5,74,149,0,0,0,0,7,7,0,0,0,0,12,12,8,0,3,0,16,24,6,0,0,0,13,19,15,0,0,0,8,20,17,0,4,0,0,27,5,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,47,0,17,0,59,120,0,0,0,0,15,15,0,0,0,0,29,29,15,0,3,0,35,52,15,0,3,0,24,46,20,0,5,0,18,47,37,3,11,0,10,60,14,0,6,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,100,5,28,5,132,274
LGA32080,12,4,3,3,5027,5045,133,9,12,0,4374,4531,3006,174,169,11,6758,10123,5514,448,682,30,3923,10599,6010,606,1550,79,2942,11183,5361,502,1783,169,1673,9482,4117,305,1217,290,671,6599,1681,110,335,314,194,2629,346,24,55,242,39,698,26162,2184,5800,1133,25611,60893,23,3,0,3,4731,4762,275,27,9,6,4305,4618,4070,294,290,25,6517,11202,6315,673,1123,107,3874,12096,6175,762,2158,285,2318,11700,5218,526,2069,608,1108,9542,3186,250,1244,983,353,6026,1060,64,333,1154,77,2682,178,12,62,984,50,1284,26508,2618,7288,4155,23330,63897,30,10,3,3,9760,9803,401,34,18,6,8682,9148,7070,473,465,40,13274,21325,11829,1125,1804,138,7797,22691,12189,1365,3704,363,5267,22880,10581,1033,3852,780,2779,19022,7306,556,2459,1277,1023,12624,2737,173,672,1463,271,5312,522,33,119,1218,92,1981,52669,4799,13088,5287,48940,124795
LGA32250,0,0,0,0,48,48,0,0,0,4,59,68,37,0,0,0,88,121,54,0,8,0,55,112,70,8,9,0,56,143,66,10,31,4,28,139,53,3,31,8,25,116,22,4,9,5,7,41,0,0,0,3,3,9,296,28,89,21,363,803,0,0,0,0,46,46,8,0,0,0,64,68,40,3,0,0,91,132,47,3,11,0,64,120,66,4,15,8,57,151,61,10,23,11,21,120,42,4,7,10,10,81,9,0,3,8,5,23,0,0,0,0,0,0,271,24,61,33,356,743,0,0,0,0,97,97,8,0,0,4,124,135,75,3,3,0,176,259,103,5,15,0,113,240,133,13,24,6,113,295,126,21,54,12,44,260,99,10,37,23,31,193,31,4,15,10,12,64,0,0,0,3,5,10,569,51,145,58,716,1548
LGA32260,3,0,0,3,803,809,33,3,0,3,728,769,511,30,22,3,1027,1594,780,55,85,3,600,1518,1078,117,264,16,602,2083,1337,125,428,40,405,2328,1098,88,297,76,169,1735,589,29,111,117,62,909,135,4,16,79,20,256,5565,454,1224,335,4415,11994,9,0,0,3,745,752,69,11,6,3,579,666,649,38,29,3,853,1571,892,72,121,13,536,1630,1161,126,284,57,344,1971,1359,96,353,128,220,2149,978,48,196,244,59,1530,361,10,59,358,20,799,58,0,23,303,11,392,5526,395,1071,1110,3359,11469,9,0,0,3,1545,1562,100,10,6,3,1314,1435,1162,69,50,5,1877,3164,1669,123,204,15,1133,3148,2239,246,550,76,944,4050,2692,219,775,164,623,4483,2082,136,495,316,229,3266,942,37,175,471,80,1712,188,8,35,384,31,647,11091,847,2293,1452,7780,23462
LGA32270,3,0,0,0,834,843,43,4,0,0,826,873,1057,37,32,8,1213,2342,1432,93,126,4,554,2214,1358,149,261,17,373,2154,1051,87,269,24,182,1613,472,54,159,40,76,804,168,14,51,48,22,303,33,0,9,13,7,65,5608,444,899,156,4087,11196,0,0,0,0,726,726,82,6,5,0,747,842,1286,57,49,4,898,2297,1353,87,132,8,344,1924,1246,89,240,34,209,1815,898,68,215,76,72,1328,381,24,87,109,16,620,98,5,27,112,9,256,12,0,3,45,0,67,5362,337,771,392,3025,9878,4,0,0,0,1563,1571,133,9,3,0,1577,1720,2337,95,78,7,2112,4634,2785,180,264,10,897,4135,2599,237,504,51,581,3964,1941,156,487,99,248,2939,849,79,247,156,95,1424,273,17,82,158,33,558,46,0,13,63,12,133,10973,780,1671,544,7108,21073
LGA32310,0,0,0,0,455,455,10,0,0,0,270,279,188,8,9,0,350,557,386,32,31,0,237,689,411,34,79,8,167,694,498,33,125,15,132,796,415,28,116,44,72,674,213,19,50,35,27,341,36,0,10,29,4,76,2158,145,415,133,1710,4562,3,0,0,0,431,433,26,3,0,0,244,273,255,21,16,0,336,629,423,50,69,4,200,736,473,58,126,18,149,820,460,29,134,70,69,764,387,26,83,117,32,638,142,11,31,149,5,335,15,0,0,99,11,133,2186,198,466,449,1470,4761,3,0,0,0,891,893,42,3,0,0,508,553,450,31,22,0,684,1187,807,76,99,3,437,1420,880,95,198,29,308,1513,958,61,264,86,202,1563,800,51,202,157,102,1313,356,30,81,184,35,675,51,3,13,130,14,211,4345,343,884,583,3181,9327
LGA32330,0,0,0,0,73,73,0,0,0,0,51,51,3,0,0,0,61,66,10,0,0,0,60,67,9,0,0,0,51,64,14,0,0,0,24,42,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,34,3,5,8,328,374,0,0,0,0,60,60,0,0,0,0,65,65,4,0,0,0,82,83,10,0,0,0,68,80,8,0,5,0,52,66,8,0,0,3,31,44,4,0,3,8,13,27,0,0,0,5,0,5,0,0,0,5,0,5,30,0,6,17,374,433,0,0,0,0,134,134,0,0,0,0,122,122,3,0,0,0,141,148,18,0,0,0,123,146,13,0,5,0,105,121,24,3,0,0,53,82,5,0,4,9,14,37,0,0,0,7,3,10,0,0,0,5,0,5,65,4,12,23,699,807
LGA32450,0,0,0,0,86,88,4,0,0,0,101,103,104,3,3,6,190,308,139,4,7,0,109,262,117,21,36,0,70,243,127,11,28,9,56,229,71,13,24,8,8,129,13,3,3,12,0,28,5,0,0,4,3,11,583,53,112,36,617,1397,0,0,0,0,64,64,10,0,0,0,87,100,77,3,0,6,159,245,85,5,4,7,60,167,99,11,24,0,40,168,92,17,24,8,23,159,48,3,7,17,8,77,10,0,5,17,0,30,0,0,0,7,0,7,421,34,65,62,442,1016,0,0,0,0,144,145,9,0,0,0,184,202,188,10,4,8,346,551,226,10,17,7,171,422,221,29,55,3,114,416,222,27,49,15,72,385,117,17,38,23,19,206,24,3,4,32,0,64,6,0,0,7,4,20,1006,84,176,99,1056,2416
LGA32500,0,0,0,0,111,111,4,0,0,0,158,159,46,7,0,0,207,264,96,7,17,0,155,275,118,21,42,6,122,317,147,17,68,6,101,335,149,18,92,15,56,341,37,5,14,13,18,91,0,0,0,0,10,18,609,81,239,44,930,1901,0,0,0,0,84,84,7,0,0,0,116,127,71,6,7,0,181,270,94,10,7,0,122,232,105,23,37,6,73,249,166,25,61,22,79,348,106,6,30,19,9,166,17,0,5,25,3,50,3,0,3,12,0,18,567,68,148,86,664,1534,0,0,0,0,194,194,9,3,0,0,273,291,117,14,3,0,391,528,194,13,22,0,271,507,224,42,82,13,199,563,305,41,127,31,172,686,256,30,125,30,67,506,53,4,21,36,14,136,7,0,3,20,10,31,1174,145,389,135,1592,3439
LGA32600,0,0,0,0,4,4,0,0,0,0,13,11,3,0,0,0,15,21,7,0,4,0,7,22,15,0,4,0,3,20,9,0,11,3,7,32,4,0,3,0,3,8,3,0,0,0,0,3,0,0,0,0,0,4,50,0,22,0,45,126,0,0,0,0,0,0,0,0,0,0,8,8,3,0,0,0,16,18,15,5,0,0,4,23,11,0,0,4,5,26,7,3,0,0,0,20,3,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,52,6,3,8,38,108,0,0,0,0,4,4,0,0,0,0,19,24,14,0,0,0,30,37,26,5,4,0,14,45,33,0,4,4,7,49,21,8,15,3,6,49,8,0,4,0,3,20,4,0,0,0,0,4,0,0,0,0,0,4,103,14,22,9,86,229
LGA32750,0,0,0,0,17,17,0,0,0,0,21,20,9,0,0,0,13,22,11,0,0,0,7,18,13,0,3,0,8,18,15,0,0,0,0,18,5,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,48,3,7,0,67,118,0,0,0,0,16,14,0,0,0,0,13,13,9,0,0,0,18,26,11,3,0,0,0,17,10,0,0,0,5,23,13,0,3,3,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,43,4,4,5,55,114,0,0,0,0,29,32,0,0,0,0,34,38,18,0,0,0,29,43,16,3,0,0,12,33,27,3,3,0,14,42,21,0,3,3,0,36,9,0,3,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,89,9,13,5,123,239
LGA32770,0,0,0,0,47,47,0,0,0,0,69,69,13,0,0,0,80,96,23,0,5,0,61,87,15,4,0,0,24,39,21,0,4,0,16,39,7,0,0,6,0,13,0,0,0,4,0,5,0,0,0,0,0,0,74,4,10,11,302,399,0,0,0,0,69,75,0,0,0,0,54,54,10,0,0,0,113,127,20,0,0,0,64,85,30,0,3,4,23,59,19,0,0,9,4,39,0,0,0,3,3,15,0,0,0,5,0,3,0,0,0,0,0,0,84,9,3,24,343,466,0,0,0,0,121,119,0,0,0,0,126,126,18,0,0,0,198,222,43,0,5,0,127,177,43,7,4,4,45,102,42,0,4,14,18,80,9,0,0,9,9,24,3,0,0,6,0,12,0,0,0,0,0,0,160,14,8,37,646,862
LGA32810,0,0,0,0,269,274,3,0,3,0,241,247,165,12,6,0,520,707,328,24,58,4,360,776,443,41,101,8,299,896,493,63,212,15,208,989,395,32,148,36,55,665,178,12,49,36,23,298,23,0,9,30,9,72,2035,170,585,130,1992,4911,0,0,0,0,255,257,9,0,0,0,258,268,229,19,21,5,543,810,393,46,66,3,290,800,452,50,157,17,230,915,490,41,189,45,137,904,349,12,124,75,37,595,98,4,37,92,11,237,12,3,8,61,0,86,2035,171,592,302,1766,4867,3,0,0,0,527,529,9,0,3,0,501,511,395,23,28,7,1066,1520,726,68,121,7,649,1573,899,93,258,23,537,1810,978,99,395,66,352,1893,746,42,272,109,89,1259,274,14,82,125,33,535,38,3,11,95,9,159,4074,347,1180,430,3757,9783
