LGA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
LGA30250,0,0,30,33,0,10,33,48,6,28,47,82,10,32,46,84,7,26,39,80,3,18,23,41,3,3,18,23,0,0,4,3,0,0,0,3,30,115,249,397,0,0,42,41,7,15,33,55,7,29,60,99,11,25,38,70,10,30,36,73,6,8,36,48,3,0,12,17,0,0,3,7,0,0,0,0,30,119,261,415,0,0,70,71,3,28,66,100,11,57,112,180,14,57,87,155,18,57,80,155,11,25,54,88,6,5,29,37,0,0,4,10,0,0,0,3,66,234,507,811
LGA30300,0,5,91,97,9,19,56,81,72,52,86,209,142,26,60,231,176,35,78,286,150,30,77,255,118,8,58,189,56,0,32,89,7,0,6,14,728,175,543,1449,0,3,92,94,6,21,55,82,103,59,80,241,165,34,37,232,165,33,60,257,167,20,61,248,91,5,45,139,39,0,36,71,0,0,17,20,732,177,476,1388,0,7,185,189,11,41,103,164,176,105,167,449,303,63,101,471,345,65,134,542,316,51,137,506,207,17,104,328,88,0,65,158,12,0,26,33,1461,355,1018,2838
LGA30370,0,8,330,338,14,88,256,355,354,178,276,805,552,90,195,831,562,82,215,861,542,54,207,802,325,20,144,492,182,8,85,272,31,3,21,54,2556,528,1731,4812,0,18,301,316,31,116,147,299,462,172,185,821,594,119,135,846,609,72,166,844,483,42,172,702,296,20,137,452,115,5,152,274,10,0,75,86,2604,564,1476,4644,0,23,633,652,48,205,402,655,817,347,463,1628,1146,207,326,1679,1172,151,382,1702,1024,101,380,1504,622,37,280,942,297,18,236,551,41,3,94,142,5162,1086,3210,9456
LGA30410,0,0,42,48,3,13,46,66,59,39,26,126,76,17,32,121,116,20,53,183,100,8,46,164,76,5,41,120,51,3,23,75,7,0,12,18,493,110,327,929,0,3,45,52,4,16,33,56,77,46,42,161,98,18,34,155,107,25,43,175,109,10,42,153,81,8,45,126,27,3,46,68,4,0,11,17,502,121,338,958,0,4,90,93,4,34,87,124,137,82,68,285,175,33,68,275,229,37,96,360,206,22,91,319,157,15,78,249,72,4,69,148,11,0,21,33,988,234,663,1886
LGA30450,0,0,5,5,0,0,0,0,0,3,7,14,3,3,4,13,13,3,9,26,7,0,4,19,9,0,7,15,0,0,4,4,0,0,0,0,42,13,48,101,0,0,4,4,0,0,0,3,0,6,4,12,10,3,5,14,14,3,4,20,9,0,4,11,7,0,8,13,0,0,0,0,0,0,0,0,44,15,27,79,0,0,6,6,0,0,0,8,5,4,14,21,9,10,8,26,32,6,13,54,18,0,7,29,15,3,16,33,0,0,4,4,0,0,0,0,81,23,76,177
LGA30760,0,0,37,37,3,4,16,23,26,25,33,86,56,18,14,83,61,10,32,96,108,6,32,152,87,3,37,125,30,3,23,55,3,0,4,4,364,68,222,658,0,3,29,26,0,10,17,28,33,23,30,85,72,18,16,113,86,13,18,115,106,8,26,140,62,3,35,96,9,0,38,47,3,0,12,14,373,75,229,675,0,3,59,62,3,18,33,55,61,44,63,171,128,33,37,193,139,26,51,220,219,17,61,292,145,6,70,221,39,3,61,102,7,0,16,19,738,147,457,1338
LGA30900,0,0,3,3,0,3,12,16,4,3,16,20,5,5,17,22,12,3,16,28,10,3,4,24,3,3,9,11,0,0,0,4,0,0,0,0,38,18,74,128,0,0,6,6,0,4,8,8,12,4,13,32,4,5,8,18,11,0,3,17,11,5,14,21,3,4,0,5,3,0,0,3,0,0,0,0,42,21,53,113,0,0,6,6,0,8,18,22,16,8,33,56,6,7,24,38,21,3,19,39,17,10,17,45,6,7,5,20,3,0,0,9,0,0,0,0,79,37,127,245
LGA31000,19,309,30961,31287,833,4565,36835,42238,26673,18106,40403,85178,45360,9768,18107,73235,41491,6770,16142,64402,32583,3788,13018,49392,23458,1645,8252,33353,11443,369,4370,16182,3047,72,2287,5403,184907,45393,170382,400682,50,538,30028,30616,1989,6569,34481,43040,35041,18474,34224,87739,48282,9296,19981,77560,41909,6268,20903,69076,31082,3215,19132,53426,20388,1123,15411,36922,8239,199,11856,20297,1425,33,7571,9027,188413,45705,193583,427697,72,845,60989,61902,2826,11134,71311,85272,61712,36574,74631,172921,93642,19062,38092,150795,83399,13036,37046,133474,63670,7004,32151,102822,43845,2770,23662,70275,19684,572,16230,36481,4474,103,9857,14430,373319,91092,363969,828382
LGA31750,0,0,0,4,0,3,0,3,3,3,8,19,10,4,4,19,10,4,9,16,19,4,7,26,10,0,3,9,0,0,4,3,0,0,0,3,48,20,40,106,0,0,5,6,0,3,4,12,7,4,9,20,6,6,8,17,9,8,0,18,18,0,5,22,4,0,0,7,0,0,3,3,0,0,0,0,47,19,37,101,0,3,5,5,0,4,9,17,11,9,18,36,21,10,9,35,17,7,10,33,35,4,10,47,10,0,10,16,3,0,9,6,3,0,0,7,98,37,76,208
LGA31820,0,45,2555,2603,93,373,1484,1951,1295,843,1586,3723,2270,585,1227,4080,2939,618,1579,5140,3480,505,1562,5546,3783,340,1336,5456,1920,92,784,2804,423,14,281,724,16200,3416,12404,32022,12,114,2306,2430,185,501,1233,1919,1740,861,1682,4286,2694,623,1416,4733,3315,654,1783,5746,3782,498,1791,6076,3344,262,1809,5412,1385,60,1531,2984,179,4,784,970,16636,3581,14337,34548,13,156,4863,5033,277,871,2719,3869,3036,1709,3266,8009,4965,1209,2642,8818,6247,1269,3363,10889,7267,1006,3356,11625,7125,599,3138,10865,3307,154,2315,5781,597,24,1072,1687,32830,6995,26743,66571
LGA31900,0,0,475,476,14,71,331,406,262,157,278,700,512,120,242,872,641,107,302,1051,734,80,331,1149,616,40,262,915,331,9,132,468,71,0,53,128,3181,579,2404,6170,0,19,441,457,40,101,216,354,351,154,235,736,586,114,198,898,690,105,245,1041,734,92,273,1103,578,22,261,864,235,9,271,517,25,4,167,195,3240,607,2313,6160,0,23,917,935,49,171,547,766,618,309,511,1434,1094,234,442,1771,1331,214,549,2089,1466,175,610,2251,1199,57,525,1780,574,11,398,984,96,3,222,320,6420,1193,4714,12326
LGA31950,0,0,5,5,0,3,6,6,0,5,9,13,7,4,12,20,8,4,12,20,7,3,10,19,5,0,7,13,0,0,0,0,0,0,0,0,28,27,53,105,0,0,3,3,0,7,0,3,3,4,3,14,0,6,7,16,8,3,0,19,11,0,5,16,3,0,0,9,0,0,0,0,0,0,0,0,31,23,30,78,0,0,10,10,0,8,5,11,8,9,12,27,4,16,14,38,14,10,12,35,22,5,17,40,9,0,9,16,0,0,3,3,0,0,0,0,58,53,81,189
LGA32080,5,61,4286,4351,102,648,2885,3633,2459,2189,3585,8231,4675,1722,2550,8951,5053,1426,2903,9375,4519,897,2617,8028,3437,372,1806,5623,1382,69,723,2169,247,14,252,520,21872,7409,21610,50890,8,132,3966,4099,212,926,2618,3763,3482,2485,3554,9518,5584,1820,3335,10740,5357,1349,3588,10297,4401,709,3134,8250,2669,220,2276,5162,860,39,1295,2188,111,4,695,803,22682,7681,24461,54828,10,191,8253,8457,318,1576,5501,7395,5938,4669,7142,17752,10259,3542,5891,19692,10410,2772,6491,19678,8921,1615,5752,16279,6101,594,4080,10786,2238,109,2017,4361,362,17,949,1327,44554,15088,46069,105719
LGA32250,0,0,35,37,0,6,31,46,29,35,36,97,25,22,39,85,48,19,46,113,51,23,39,109,34,15,54,101,14,0,17,35,0,0,5,4,207,118,301,629,0,3,35,37,3,10,33,50,33,37,43,108,36,23,40,107,58,30,51,136,45,21,32,101,31,10,30,72,5,4,13,18,0,0,0,0,209,142,271,620,0,5,64,76,3,20,61,89,61,68,79,209,63,42,84,187,107,49,91,249,92,42,73,202,65,25,83,168,20,3,30,56,0,0,4,4,413,263,577,1248
LGA32260,0,6,692,706,25,136,460,618,387,318,542,1248,657,236,397,1291,923,247,588,1762,1133,194,672,1993,905,83,486,1467,507,19,255,776,99,0,74,177,4640,1243,4170,10047,6,27,613,635,58,181,306,538,547,369,429,1340,782,240,428,1452,1015,228,509,1754,1132,196,512,1842,831,59,423,1310,300,3,360,664,43,0,203,248,4701,1296,3797,9790,4,33,1307,1345,83,316,770,1163,936,686,972,2591,1436,482,826,2747,1939,477,1099,3516,2268,389,1183,3841,1730,143,911,2781,803,18,622,1445,141,0,281,429,9342,2536,7965,19844
LGA32270,0,9,669,680,33,181,465,676,817,417,527,1761,1101,240,329,1668,971,171,447,1588,786,99,360,1251,375,32,257,664,141,13,95,241,25,0,23,46,4249,1157,3169,8571,0,35,547,581,68,256,347,672,1093,436,387,1915,1161,229,270,1654,1005,166,325,1498,711,101,258,1073,316,27,181,525,72,3,124,195,7,0,36,47,4443,1252,2476,8168,0,42,1212,1258,105,441,809,1351,1912,854,913,3673,2257,474,599,3325,1979,339,774,3087,1500,199,620,2321,691,61,436,1187,216,9,214,443,33,0,61,92,8688,2416,5639,16743
LGA32310,0,6,310,310,11,39,172,224,156,105,192,452,281,83,156,523,324,60,162,547,394,62,191,651,345,28,195,572,175,8,88,274,25,0,26,55,1707,386,1504,3599,0,19,272,288,22,57,143,226,226,109,206,535,359,93,194,646,395,80,229,702,387,48,197,627,314,24,205,541,115,5,152,274,8,0,67,79,1835,428,1662,3926,0,22,582,599,37,96,312,445,375,214,397,987,644,176,350,1169,715,141,391,1252,781,104,389,1275,663,46,399,1115,293,11,243,544,37,3,99,129,3544,821,3164,7521
LGA32330,0,0,66,72,0,13,30,43,3,28,36,62,4,24,34,61,3,19,38,59,10,18,19,42,3,0,4,4,0,0,0,0,0,0,0,0,24,94,227,345,0,0,53,56,0,16,38,53,4,33,51,85,8,23,43,73,8,18,36,59,9,11,26,37,3,0,21,23,0,0,0,0,0,0,0,0,23,90,271,388,0,0,126,129,0,28,67,94,3,59,79,147,13,42,85,134,11,33,73,113,14,21,43,80,5,0,27,32,0,0,4,4,0,0,0,0,49,184,496,731
LGA32450,0,4,68,69,4,20,47,68,51,55,57,164,75,26,36,136,68,18,68,160,74,20,60,155,43,4,53,106,7,0,17,23,0,0,5,7,324,150,412,888,0,9,41,44,9,28,34,68,62,66,57,187,69,30,35,130,75,21,36,137,69,15,40,125,34,0,29,63,3,0,16,21,0,0,3,3,327,160,299,783,0,13,107,120,11,44,82,138,119,121,113,351,136,51,75,269,151,43,103,294,136,40,99,276,82,4,84,172,18,0,30,45,3,0,8,13,648,308,706,1673
LGA32500,0,0,76,80,3,21,74,97,33,43,91,168,64,67,73,199,92,42,102,233,92,29,123,255,104,27,121,252,29,4,42,71,0,0,12,7,414,232,711,1367,0,0,56,58,0,23,52,74,59,68,65,191,75,58,69,197,88,44,73,209,113,39,110,270,78,10,43,131,6,0,25,35,0,3,9,8,428,246,499,1170,0,3,134,137,6,37,128,173,85,109,156,358,139,120,141,399,177,84,176,441,207,74,242,525,180,40,164,383,40,7,61,104,3,3,20,21,844,482,1213,2536
LGA32600,0,0,3,3,0,4,7,11,7,3,3,7,7,5,0,12,13,3,0,12,4,5,5,14,4,0,7,8,3,0,0,3,0,0,0,3,36,13,28,80,0,0,0,0,0,3,7,5,6,4,3,12,8,3,3,16,9,4,3,13,12,3,3,16,4,0,3,6,3,0,0,3,0,0,0,0,38,18,27,75,0,0,3,3,0,5,8,15,10,5,8,25,19,7,6,29,19,6,5,28,19,8,10,33,5,0,9,13,3,0,0,5,0,0,0,3,76,25,54,154
LGA32750,0,0,6,6,0,0,0,8,9,0,6,10,9,8,3,18,11,0,4,11,6,3,3,15,3,0,5,12,0,0,0,0,0,0,0,0,30,14,30,79,0,0,3,5,0,0,5,8,8,4,7,22,10,3,0,9,7,3,3,20,6,0,3,14,0,0,3,3,0,0,0,0,0,0,0,0,34,18,28,77,0,3,9,12,0,7,8,10,12,4,13,32,17,9,5,24,15,3,10,35,14,3,4,25,3,0,5,14,0,0,0,0,0,0,0,0,66,27,60,155
LGA32770,0,3,44,50,0,28,37,62,9,44,26,80,14,47,26,81,9,14,12,40,16,6,11,35,3,0,10,9,0,0,0,0,0,0,0,0,57,141,165,363,0,6,54,66,0,20,37,56,8,57,49,120,15,40,33,88,18,18,23,54,12,3,21,33,0,0,13,15,0,0,5,7,0,0,0,0,51,142,234,427,0,8,104,109,0,41,71,113,18,101,78,203,30,82,52,169,32,30,33,89,24,8,34,74,3,0,17,24,0,0,7,8,0,0,0,0,107,283,396,788
LGA32810,0,4,222,225,3,39,140,184,112,173,222,509,250,135,211,594,343,140,243,720,375,127,277,777,314,40,181,533,143,12,77,229,13,0,32,47,1552,667,1600,3815,0,12,191,202,4,56,127,188,165,205,227,592,330,138,198,665,367,144,254,760,374,87,250,707,267,41,161,466,80,3,110,194,9,0,33,41,1579,680,1550,3807,0,18,410,431,4,95,266,366,271,374,446,1096,581,269,407,1258,711,278,489,1478,744,215,526,1481,579,79,351,1006,218,14,182,420,21,0,66,88,3132,1344,3150,7623
LGA33100,0,0,13,17,0,0,8,12,11,13,17,39,14,7,8,24,30,7,23,60,26,6,28,63,25,3,28,58,10,0,10,22,0,0,0,0,121,39,139,294,0,0,11,9,0,7,3,10,22,14,12,48,22,10,9,33,28,5,4,40,29,5,16,44,13,4,10,34,7,0,6,9,0,0,4,4,113,42,85,240,0,3,21,22,0,6,13,22,33,23,32,89,37,10,10,63,53,14,26,97,52,9,48,107,43,5,45,92,15,0,21,35,0,0,3,3,236,76,225,537
LGA33200,0,3,33,36,3,15,22,39,25,21,24,68,37,10,17,66,64,4,23,96,56,4,35,100,51,6,23,81,20,0,10,36,4,0,3,8,269,65,198,527,0,5,26,29,4,21,6,33,39,19,18,73,47,9,14,67,64,7,24,90,54,8,27,84,60,7,30,95,12,0,25,34,0,0,13,14,275,64,179,526,0,8,58,65,7,32,31,72,63,42,38,136,87,16,31,133,129,16,49,188,109,12,60,185,111,11,58,177,40,0,30,67,7,4,20,21,545,124,375,1045
LGA33220,0,37,2502,2544,61,339,1368,1772,1107,787,1510,3402,2155,699,1352,4206,2836,706,1657,5199,3914,587,1798,6303,4860,432,1675,6970,2409,151,927,3483,450,25,331,807,17793,3777,13121,34692,0,88,2369,2455,130,461,1180,1766,1546,910,1558,4013,2633,771,1687,5090,3348,725,2083,6155,4359,593,2188,7147,4364,341,2274,6979,1634,94,1699,3424,198,12,837,1049,18222,3991,15871,38081,3,127,4874,5004,192,799,2547,3543,2654,1696,3068,7419,4786,1466,3041,9296,6184,1432,3739,11355,8274,1187,3984,13448,9223,772,3950,13943,4046,240,2620,6910,650,39,1167,1856,36015,7770,28990,72774
LGA33360,0,46,1755,1802,74,405,1088,1565,1325,952,1119,3396,2301,576,860,3741,2334,554,1097,3982,2071,291,946,3309,1224,110,536,1867,490,17,216,725,70,3,59,133,9885,2952,7667,20511,4,89,1433,1525,139,549,781,1465,1860,1007,995,3859,2557,585,806,3949,2469,524,887,3885,1921,243,651,2818,1066,92,537,1694,309,9,407,722,36,5,167,207,10354,3102,6663,20117,9,135,3185,3325,207,950,1865,3026,3182,1957,2112,7254,4855,1163,1669,7685,4806,1079,1987,7864,3988,541,1595,6127,2289,199,1075,3561,797,28,616,1446,104,5,227,340,20238,6054,14331,40623
LGA33430,6,175,15296,15483,373,2238,13104,15715,9668,8274,14101,32045,18643,5361,8658,32662,19222,4043,8545,31813,16861,2492,7106,26454,15370,1482,5539,22394,7569,419,2894,10878,1777,84,1319,3179,89487,24571,76563,190620,23,343,14703,15071,789,3462,12042,16295,13173,8754,12813,34743,20891,5022,10213,36129,19971,3925,11448,35349,16844,2304,10915,30063,13537,995,9535,24068,5101,228,6695,12030,889,28,3800,4721,91222,25068,92163,208454,31,520,30006,30552,1162,5703,25140,32008,22840,17030,26913,66781,39539,10376,18870,68786,39195,7971,19995,67165,33703,4802,18018,56520,28909,2478,15075,46463,12667,649,9588,22907,2663,110,5121,7897,180711,49642,168729,399083
LGA33610,0,3,224,226,7,56,159,221,194,137,156,482,327,71,115,511,377,83,167,622,414,40,192,644,298,15,127,439,155,12,84,244,21,3,31,55,1794,410,1243,3446,0,10,210,224,6,78,138,228,274,136,195,604,379,83,108,569,408,55,129,595,365,35,147,552,274,19,142,436,104,6,136,243,13,0,63,77,1828,423,1270,3520,0,18,435,446,18,133,294,446,468,267,350,1089,706,153,223,1077,786,137,293,1216,785,73,336,1187,576,38,265,871,258,17,212,492,38,3,99,131,3623,834,2508,6964
LGA33620,0,17,1280,1304,37,164,729,934,565,441,789,1806,1122,363,638,2120,1548,366,963,2885,2003,293,952,3242,2047,205,814,3068,906,52,396,1349,197,3,131,329,8428,1907,6701,17035,0,40,1172,1215,76,240,606,926,838,487,749,2078,1338,396,793,2527,1833,359,1033,3228,2053,280,1025,3358,1846,144,993,2984,585,31,685,1298,87,3,330,423,8673,1981,7388,18042,4,64,2453,2521,117,406,1342,1859,1403,934,1544,3884,2461,761,1431,4649,3384,726,1999,6108,4055,570,1970,6599,3900,348,1807,6052,1490,78,1085,2655,283,4,466,753,17098,3888,14091,35079
LGA33800,0,0,269,272,8,32,177,217,138,71,162,375,272,50,130,458,396,62,188,645,495,70,241,799,471,30,190,696,289,16,126,427,83,0,41,127,2145,338,1523,4004,0,9,243,254,14,43,95,148,192,70,85,353,309,67,106,489,476,78,134,691,509,53,169,734,428,20,169,624,202,8,233,443,32,0,137,171,2171,348,1384,3905,0,11,514,524,22,78,270,363,334,146,249,722,583,123,237,943,870,137,328,1337,1000,120,408,1533,901,56,359,1312,487,26,355,863,121,0,185,304,4313,683,2909,7908
LGA33830,0,3,23,25,0,10,13,25,3,31,30,57,4,35,28,65,6,17,20,48,9,5,14,34,8,0,6,13,4,0,0,4,0,0,0,0,35,99,133,269,0,0,35,38,0,14,15,35,0,33,36,66,4,35,14,51,4,14,18,40,9,7,17,26,8,0,9,15,4,0,3,8,0,0,0,0,29,101,146,279,0,3,60,61,0,25,30,58,5,59,63,128,8,66,38,113,14,30,39,87,19,8,32,60,12,0,15,24,5,0,3,9,0,0,0,0,64,196,280,540
LGA33960,3,97,6109,6215,251,1161,4561,5980,4740,3184,4586,12513,6450,1871,3209,11528,6291,1287,3161,10737,5368,636,2388,8391,3683,247,1373,5306,1588,63,746,2401,333,10,286,626,28702,8560,26427,63689,13,200,5670,5876,493,1694,3961,6147,6201,3279,4676,14153,6787,1834,3703,12321,6349,1170,3811,11325,5056,567,3024,8646,3144,164,2279,5584,1134,40,1706,2879,155,0,803,963,29329,8947,29628,67900,17,298,11783,12094,742,2854,8525,12125,10939,6466,9260,26664,13234,3708,6912,23853,12635,2460,6971,22064,10423,1200,5410,17037,6823,413,3651,10888,2725,101,2450,5273,492,8,1089,1590,58036,17506,56049,131592
LGA33980,0,12,393,410,24,131,275,428,628,373,323,1324,866,208,288,1355,654,145,282,1085,480,80,269,827,212,9,146,364,67,4,39,113,14,0,13,22,2939,960,2028,5929,3,31,376,412,56,201,213,466,874,380,275,1527,862,181,201,1249,585,141,193,917,417,48,120,585,163,14,98,277,39,0,56,102,0,0,28,31,3001,1000,1566,5562,3,42,772,813,78,331,490,895,1498,756,599,2855,1731,384,488,2602,1239,287,478,2001,890,130,388,1410,377,24,243,641,109,7,96,214,17,0,42,60,5940,1955,3600,11489
LGA34420,0,5,33,34,0,14,19,28,0,20,30,54,0,36,26,58,6,29,14,51,4,17,21,40,3,4,9,18,0,0,0,0,0,0,0,0,17,115,146,282,0,7,24,29,0,10,32,44,0,27,50,82,0,38,32,65,7,27,28,61,12,13,25,46,0,0,9,13,0,0,0,0,0,0,3,3,22,121,205,341,0,4,53,63,0,23,47,75,4,45,87,135,0,70,55,125,10,57,47,110,16,27,43,87,3,3,18,28,0,0,0,0,0,0,3,4,39,239,350,623
LGA34530,0,17,1001,1013,28,136,579,742,492,333,514,1343,1004,278,398,1680,1264,246,574,2077,1444,210,538,2193,1182,82,406,1669,524,24,202,753,108,4,111,226,6057,1322,4327,11705,4,33,943,981,41,182,454,674,733,397,470,1603,1248,308,433,1979,1502,303,574,2381,1515,183,568,2260,1018,75,490,1581,401,14,414,830,56,0,227,279,6519,1495,4562,12580,3,51,1942,1999,70,318,1032,1418,1230,729,987,2946,2246,583,831,3662,2768,550,1143,4457,2957,394,1105,4456,2203,153,893,3251,928,39,618,1581,164,5,338,508,12573,2824,8893,24282
LGA34570,0,3,26,28,0,3,14,24,0,22,25,45,0,17,24,44,3,16,14,35,3,3,11,18,0,0,5,5,0,0,0,3,0,0,0,0,9,74,122,198,0,0,27,27,0,10,20,29,0,23,28,56,3,12,16,29,0,18,24,36,3,9,15,23,3,3,10,13,0,0,3,3,0,0,0,0,10,75,137,222,0,5,48,56,0,12,40,49,0,44,52,101,3,37,36,76,3,35,35,68,6,12,29,45,4,3,15,18,0,0,8,8,0,0,0,0,18,141,263,420
LGA34580,0,8,1174,1186,33,138,802,976,652,369,863,1892,1121,297,488,1915,1337,313,666,2309,1380,203,536,2115,1221,101,424,1747,515,29,220,769,79,3,90,178,6351,1465,5266,13086,0,31,1051,1086,83,220,809,1113,876,396,815,2090,1275,296,548,2116,1491,343,684,2510,1363,156,554,2073,1054,73,547,1676,338,16,389,743,28,3,194,221,6502,1531,5603,13630,0,41,2230,2269,120,357,1617,2089,1529,763,1678,3979,2397,594,1037,4032,2824,652,1346,4821,2740,360,1089,4188,2280,171,976,3424,848,44,618,1510,104,6,285,400,12853,2998,10868,26712
LGA34590,0,136,9982,10123,390,1387,7833,9611,6753,4096,7792,18640,10342,2831,5173,18347,10300,2136,4635,17081,9622,1225,3579,14417,7298,542,2511,10347,2684,128,1079,3891,525,20,411,955,47915,12502,42998,103417,32,262,9155,9446,832,1963,6427,9221,8729,4395,6850,19977,11133,2746,5601,19479,10598,2086,5767,18452,9327,1041,5032,15392,6033,398,4307,10735,1732,74,2578,4384,228,23,1113,1359,48640,12980,46820,108444,29,401,19142,19573,1228,3354,14260,18835,15486,8489,14644,38618,21481,5574,10769,37823,20898,4229,10401,35533,18943,2259,8605,29809,13330,941,6813,21081,4412,202,3658,8272,748,45,1523,2315,96558,25484,89815,211860
LGA34710,0,3,85,86,5,28,54,84,55,43,48,149,97,22,46,162,123,28,46,195,143,15,75,237,82,4,35,126,41,3,27,72,10,0,4,15,564,145,416,1125,0,12,94,100,5,32,59,98,69,48,94,216,128,22,49,198,131,25,84,242,137,11,54,196,66,3,36,107,30,3,46,77,3,0,29,35,569,156,538,1263,0,18,175,188,13,58,108,179,127,99,136,360,225,41,95,353,254,55,127,436,278,28,129,433,150,10,77,239,67,6,72,147,14,0,34,50,1130,300,958,2392
LGA34770,0,50,3280,3328,90,629,2033,2755,2263,1608,2206,6075,3539,936,1637,6110,4110,849,1912,6877,3946,501,1636,6079,2703,186,1021,3911,1231,47,547,1824,252,6,208,464,18133,4814,14484,37428,4,146,3012,3167,255,934,1640,2826,3240,1702,1975,6922,4222,983,1692,6889,4664,877,1792,7337,3972,461,1599,6035,2336,161,1303,3797,842,34,1130,2009,118,3,564,683,19659,5309,14703,39673,4,196,6295,6501,346,1560,3673,5586,5502,3311,4179,12994,7762,1917,3328,13002,8778,1728,3705,14212,7922,962,3230,12111,5036,349,2326,7711,2070,84,1681,3840,376,7,768,1152,37795,10118,29188,77100
LGA34800,0,0,9,9,0,3,13,18,12,8,17,37,26,5,7,44,24,6,18,47,24,0,19,45,18,0,19,29,8,0,3,13,0,0,0,0,117,31,100,246,0,0,12,12,3,3,10,20,17,12,14,45,28,3,18,51,21,4,10,41,28,0,5,37,12,3,17,24,3,0,4,9,0,0,0,0,105,34,90,237,0,0,17,17,3,5,28,35,31,20,29,85,54,15,22,89,45,15,23,86,57,3,28,86,22,4,34,61,7,0,9,18,0,0,0,4,227,67,188,482
LGA34830,0,0,11,11,0,3,8,12,0,9,12,18,0,5,12,16,3,0,7,12,3,3,14,21,0,0,4,7,3,0,3,7,0,0,0,0,15,21,69,106,0,3,11,9,0,4,6,17,0,3,9,19,0,3,6,10,3,0,14,21,3,3,11,19,3,0,3,9,0,0,0,0,0,0,0,0,13,23,59,96,0,3,19,23,0,10,18,26,3,11,20,40,5,6,17,27,7,4,14,29,8,8,21,38,3,0,9,11,3,0,3,5,0,0,0,0,30,49,126,199
