LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA35800,7,3,13,27,28,59,32,33,64,0,0,0,66,64,125,26,33,56,0,4,4,5,3,8,24,40,66,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,3,13,17,0,5,5,0,3,4,0,3,0,4,6,6,0,0,0,4,17,26,0,0,0,0,7,4,0,0,0,0,7,4,78,81,157,184,220,408
LGA36070,10,6,20,39,49,90,0,0,0,0,0,0,37,49,92,10,9,19,3,0,7,3,4,3,16,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,13,34,90,96,188
LGA36150,3,3,5,32,32,70,18,3,21,0,0,0,51,42,91,7,14,17,6,0,3,0,0,0,12,10,25,0,3,3,0,0,0,3,0,3,3,5,7,0,0,0,4,12,12,0,3,8,0,0,0,0,0,0,8,7,11,0,0,0,8,9,17,0,0,0,0,0,3,0,0,0,0,3,0,30,22,54,105,101,210
LGA36250,866,795,1661,4293,4055,8349,1126,1083,2211,1110,1145,2254,6535,6283,12816,2859,2621,5485,921,861,1783,1594,1506,3105,5377,4992,10372,248,272,521,86,222,304,368,241,609,306,594,901,13,7,12,1020,1334,2351,1124,1531,2650,225,417,637,159,225,377,423,835,1256,5,15,20,1932,3012,4942,113,132,248,222,463,684,6,10,17,341,603,946,3596,3780,7381,19675,20804,40472
LGA36300,4,8,10,34,37,73,0,0,0,0,4,6,38,36,72,9,0,10,0,0,0,3,0,3,11,0,10,0,0,0,0,0,0,3,3,8,0,0,4,0,0,0,4,8,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,42,33,70,98,91,188
LGA36370,372,405,781,2340,2061,4405,928,882,1806,398,443,838,3665,3382,7048,1217,1130,2350,1006,950,1961,563,711,1274,2789,2797,5581,57,67,128,49,87,135,169,195,356,194,375,567,4,7,8,474,726,1199,368,586,953,177,317,497,124,227,350,302,595,892,4,13,11,970,1738,2710,83,89,175,124,298,421,6,0,6,213,395,603,3503,3231,6731,11984,12678,24656
LGA36510,189,193,377,1420,1322,2747,244,255,496,160,158,319,1827,1734,3556,1001,1049,2053,68,53,123,226,233,458,1292,1344,2637,31,56,87,17,66,83,90,66,154,75,162,237,3,3,4,216,347,567,119,218,333,42,104,142,18,40,54,101,175,279,0,5,5,280,542,818,21,33,61,52,111,160,0,3,5,72,152,221,1882,1693,3573,5760,5997,11758
LGA36580,115,131,251,1003,924,1923,44,40,83,66,70,138,1106,1042,2148,574,549,1124,72,53,129,149,159,312,793,759,1554,29,27,52,12,36,48,37,40,77,46,95,142,0,3,3,126,201,322,54,107,160,18,49,74,9,18,26,39,123,156,0,0,0,120,298,420,22,21,45,26,70,101,0,0,0,44,96,145,1163,1150,2310,3476,3675,7148
LGA36630,149,151,300,1078,988,2065,182,172,346,199,176,376,1458,1334,2793,798,742,1540,130,127,265,72,56,124,1000,925,1931,18,34,55,13,37,47,68,70,140,63,188,248,3,4,4,169,326,498,9,41,46,24,46,71,8,17,23,60,157,216,0,0,3,103,257,361,16,15,29,42,68,113,3,4,4,60,86,143,1521,1350,2874,4465,4435,8896
LGA36660,167,135,302,1114,983,2096,290,332,616,163,138,306,1566,1448,3019,773,682,1463,305,264,565,198,167,361,1281,1117,2396,19,37,59,14,59,77,54,67,117,55,138,192,3,4,9,150,307,453,53,83,135,18,66,78,12,30,36,74,161,230,3,7,3,151,342,488,18,29,49,40,95,129,3,3,4,56,123,182,1276,1294,2568,4642,4761,9406
