LGA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA35250,416,421,838,13,12,27,3,4,9,3,0,6,41,42,87,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,55,47,101,3,8,11,17,19,40,86,95,178,13,22,33,513,530,1048
LGA35300,3891,3470,7358,1626,1564,3196,171,175,349,71,72,142,1201,1191,2396,36,32,66,45,35,78,17,12,32,65,60,133,8,9,16,0,0,0,1611,1600,3205,385,439,822,80,77,151,3699,3675,7377,1198,1026,2221,8787,8174,16954
LGA35600,1122,1083,2202,277,300,577,22,35,58,5,11,16,268,320,588,3,3,5,0,6,8,0,4,4,11,11,23,0,0,0,0,0,0,321,387,701,55,59,110,21,8,33,670,755,1424,165,181,350,1960,2020,3979
LGA35670,369,335,704,12,37,52,0,0,0,0,0,0,48,26,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,33,78,0,0,0,0,0,0,62,65,128,13,5,20,440,412,853
LGA35740,11773,12378,24143,2141,2232,4375,883,997,1880,584,622,1206,5574,6096,11671,110,124,236,208,229,435,53,71,127,80,72,154,62,64,126,0,0,0,7559,8269,15828,839,960,1793,181,209,395,10721,11670,22394,1755,1694,3449,24241,25742,49983
LGA35760,2851,2777,5626,536,593,1127,40,48,90,25,17,41,698,683,1386,9,8,16,22,4,25,0,0,0,20,13,28,0,0,0,0,0,0,812,775,1584,157,115,273,24,14,38,1522,1506,3028,707,598,1310,5079,4882,9964
LGA35780,876,941,1816,55,67,124,0,4,8,4,6,6,152,153,301,3,0,7,4,0,8,0,0,0,3,9,9,0,0,0,0,0,0,164,174,337,8,7,21,8,14,24,245,261,499,41,42,81,1157,1238,2395
LGA35790,930,890,1819,8,8,15,3,9,5,0,0,0,93,103,199,0,0,0,3,0,3,0,0,0,3,4,5,0,0,0,0,0,0,99,120,222,3,6,9,11,15,27,127,148,266,15,13,35,1072,1053,2119
LGA35800,461,436,894,95,104,196,15,18,31,7,3,15,96,117,214,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,121,145,267,3,12,16,3,6,10,228,264,490,77,67,142,760,768,1527
LGA36070,279,286,567,7,8,11,0,0,0,0,0,0,31,34,70,0,0,0,0,0,3,0,0,0,3,7,6,0,0,0,0,0,0,39,44,81,0,7,5,0,5,7,48,56,103,4,3,8,340,346,680
LGA36150,220,176,393,51,58,108,13,13,22,0,0,3,77,78,155,4,4,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,94,97,194,3,3,8,3,3,5,154,164,314,25,19,48,403,356,759
