LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA34580,48,19,12,3,75,39,9,5,0,51,38,8,42,3,95,16,0,65,0,92,203,48,127,6,380,113,50,213,5,378,722,111,216,19,1065,381,199,198,24,802,439,327,175,20,963,406,355,137,21,919,240,366,65,3,679,262,357,49,11,679,401,600,69,12,1081,257,406,22,5,687,102,237,10,3,349,56,113,9,0,178,93,172,6,0,269,310,513,124,9,954,92,59,51,4,209,4212,3943,1595,139,9890
LGA34590,412,205,302,17,929,154,72,138,13,372,178,115,425,31,752,112,76,651,5,843,1062,382,1032,42,2519,669,489,1758,42,2954,3512,886,1869,89,6348,2017,1594,1800,144,5554,2402,2669,1885,172,7122,2430,3357,1306,169,7263,1677,3146,950,106,5869,1790,3211,656,72,5737,3549,6032,858,141,10577,1790,4133,359,60,6346,913,2425,123,35,3494,458,1415,119,6,2006,585,2089,89,19,2778,1556,3917,1208,60,6740,464,397,337,27,1235,25724,36617,15861,1243,79441
LGA34710,13,0,0,0,17,3,0,0,0,10,0,0,3,0,3,3,0,10,0,13,20,4,3,0,30,10,0,12,0,25,46,10,12,0,63,17,7,18,4,48,25,24,12,0,62,37,24,12,0,78,22,37,8,0,69,24,31,0,3,56,59,45,8,4,111,25,42,6,0,72,19,26,0,0,48,3,11,0,0,21,13,21,0,0,33,41,65,13,3,120,8,12,6,0,23,399,355,121,19,888
LGA34770,152,61,72,7,296,102,16,43,6,161,77,31,150,11,270,48,17,196,0,255,483,79,336,16,917,272,91,587,19,963,1207,188,544,36,1971,757,351,481,46,1637,1008,644,459,37,2145,966,796,331,45,2130,632,885,254,30,1797,711,930,180,21,1850,1488,1968,262,41,3754,991,1528,91,19,2634,687,989,32,13,1716,340,631,49,10,1033,603,1278,38,11,1929,1379,2500,347,13,4244,324,160,117,11,610,12220,13150,4573,388,30330
LGA34800,3,4,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,0,9,5,3,0,0,6,7,4,3,0,19,6,4,0,0,12,9,5,0,0,11,3,12,0,0,14,6,3,0,0,15,3,3,0,0,5,8,5,0,0,7,3,4,0,0,5,0,5,0,0,11,10,19,3,0,34,3,0,0,0,9,71,78,18,0,167
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,3,0,3,3,7,0,4,3,0,3,3,0,3,0,7,0,3,0,0,3,0,0,0,0,0,3,3,3,0,6,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,11,26,20,7,64
LGA34860,41,8,8,0,56,9,3,12,0,26,6,0,18,0,30,9,4,22,0,31,55,7,19,0,84,27,16,36,3,82,130,35,49,5,213,66,53,45,0,170,98,81,44,3,226,113,105,32,4,245,81,95,24,3,209,90,106,12,0,210,169,199,11,0,382,102,145,8,3,258,70,97,0,0,172,34,42,3,0,81,75,94,0,0,169,107,273,39,0,419,45,21,7,0,71,1316,1396,390,19,3118
LGA34880,40,20,16,0,71,31,9,10,3,48,22,14,32,5,63,14,4,45,0,60,153,27,63,3,243,70,25,97,6,203,376,76,113,12,581,200,98,111,15,426,275,167,93,14,548,194,177,59,13,440,122,180,43,5,353,129,153,23,0,310,213,264,37,4,515,99,195,12,3,303,68,105,7,0,181,31,47,12,0,91,52,72,6,0,136,194,336,87,5,618,68,21,22,0,113,2340,1983,893,92,5306
LGA35010,489,132,271,21,919,319,61,141,8,531,266,86,467,17,832,173,70,650,16,909,1745,294,1189,66,3294,1146,419,2201,53,3821,6252,836,2368,144,9598,3670,1640,2435,175,7924,4382,3014,2426,206,10027,3956,3936,1804,178,9868,2512,4230,1315,98,8149,2812,4238,933,97,8078,5215,8603,1174,131,15129,3013,6265,442,70,9790,1705,4079,142,25,5949,869,2585,141,17,3611,1378,4532,141,23,6075,2634,5687,1474,83,9879,719,478,380,40,1613,43252,51175,20089,1471,115996
LGA35250,0,0,0,0,0,0,0,0,0,3,0,3,10,3,18,0,3,4,0,10,11,8,17,3,31,3,9,11,0,20,10,9,10,0,25,4,13,5,0,23,3,11,3,0,17,4,5,4,0,17,0,3,3,0,3,0,5,3,0,6,7,3,4,0,17,3,3,0,0,9,3,0,0,0,3,0,0,0,0,0,3,3,0,0,10,4,16,8,4,29,0,9,12,0,19,49,95,93,13,247
