LGA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA31900,8673,8402,17074,455,428,881,1140,1012,2153,530,501,1031,482,428,915,846,824,1673,990,958,1946,1203,1149,2349,1268,1220,2493,1043,979,2023,546,603,1153,173,293,463,8158,8071,16227,513,329,839,363,374,730,48,44,95,60,89,148,471,501,974,7238,6984,14221,702,721,1418,7530,7217,14745,491,583,1070,7762,7550,15310,63,82,144,1001,919,1923,314,333,650,47,62,108,71,178,247,2201,2562,4765,633,532,1169,2292,2094,4382,484,393,881,691,653,1343,48,29,76,7899,7728,15624,902,869,1769
LGA31950,183,144,328,11,7,14,19,17,38,12,7,15,14,12,29,26,24,52,33,19,46,22,20,47,32,27,60,15,11,22,0,0,3,0,0,0,172,137,306,13,12,24,72,56,128,0,0,4,0,0,0,74,56,133,135,103,242,8,15,23,142,112,253,11,7,14,149,111,262,0,3,3,15,13,22,0,0,0,0,0,0,3,0,3,47,44,93,12,6,22,34,23,51,7,7,11,15,13,29,0,0,3,192,147,338,199,204,401
LGA32080,77390,79508,156901,5284,4940,10221,11212,10665,21880,5045,4762,9803,4531,4618,9148,10123,11202,21325,10599,12096,22691,11183,11700,22880,9482,9542,19022,6599,6026,12624,2629,2682,5312,698,1284,1981,72497,75731,148232,4892,3777,8671,3379,3889,7269,1918,2178,4093,1322,1421,2743,6612,7483,14094,54043,53973,108012,15646,18051,33699,60821,61016,121832,9336,11522,20854,63269,63791,127064,811,749,1561,9914,9424,19342,3105,3111,6218,832,1186,2024,1957,3988,5945,28369,32798,61172,5982,5491,11471,13754,13155,26907,2949,2617,5565,2417,2441,4862,456,471,923,68105,71294,139402,13668,13661,27325
LGA32250,1003,947,1958,62,72,132,141,129,273,48,46,97,68,68,135,121,132,259,112,120,240,143,151,295,139,120,260,116,81,193,41,23,64,9,0,10,891,875,1761,119,77,197,351,408,763,13,9,19,16,6,19,381,426,808,818,777,1592,69,75,143,875,842,1714,35,30,66,890,843,1735,9,3,16,116,111,232,9,8,19,3,3,9,7,25,38,199,236,440,54,73,134,251,214,468,78,46,122,87,59,145,10,10,22,879,862,1740,738,652,1388
LGA32260,14769,13961,28726,865,760,1622,1907,1732,3644,809,752,1562,769,666,1435,1594,1571,3164,1518,1630,3148,2083,1971,4050,2328,2149,4483,1735,1530,3266,909,799,1712,256,392,647,13853,13245,27100,914,708,1623,927,1033,1962,198,204,402,216,213,433,1349,1457,2799,11178,10423,21608,1940,2058,3998,11974,11299,23271,1356,1424,2778,12520,11838,24366,98,82,180,1640,1477,3118,444,450,896,63,88,156,164,375,539,4056,4433,8487,1117,999,2114,3361,3103,6462,829,584,1410,1020,902,1922,75,91,165,12998,12499,25495,2893,2560,5453
LGA32270,14756,13240,27999,1275,1223,2497,2290,2135,4423,843,726,1571,873,842,1720,2342,2297,4634,2214,1924,4135,2154,1815,3964,1613,1328,2939,804,620,1424,303,256,558,65,67,133,13550,12432,25980,1210,810,2022,571,536,1108,24,17,40,31,29,61,628,581,1210,11108,10127,21238,1525,1513,3039,12163,11117,23277,630,667,1301,11916,10873,22785,192,195,386,1963,1848,3807,469,403,875,71,101,172,194,502,702,4180,4751,8929,940,823,1763,3083,2257,5343,603,364,966,550,327,880,44,24,69,12092,11551,23643,6020,2577,8602
LGA32310,5885,5992,11876,350,307,656,972,922,1899,455,433,893,279,273,553,557,629,1187,689,736,1420,694,820,1513,796,764,1563,674,638,1313,341,335,675,76,133,211,5411,5671,11079,480,320,797,474,439,912,15,28,43,41,40,73,532,496,1033,4938,4960,9897,295,371,664,5168,5250,10420,127,147,277,5164,5247,10410,50,47,102,858,822,1676,277,271,549,18,35,53,63,165,231,1344,1760,3098,392,393,784,1315,1288,2601,389,331,713,518,369,888,32,13,42,4869,5123,9994,1464,1315,2777
LGA32330,628,635,1269,95,73,175,155,133,289,73,60,134,51,65,122,66,83,148,67,80,146,64,66,121,42,44,82,8,27,37,3,5,10,0,5,5,617,618,1235,12,22,31,605,611,1217,0,0,0,18,15,32,619,630,1249,621,628,1247,3,3,5,584,589,1171,24,28,49,620,635,1255,16,16,30,140,122,264,35,25,53,0,3,3,3,5,10,66,64,128,49,79,131,116,137,251,71,58,126,40,40,85,12,11,26,605,619,1222,28,33,58
LGA32450,1706,1327,3032,132,109,240,176,201,374,88,64,145,103,100,202,308,245,551,262,167,422,243,168,416,229,159,385,129,77,206,28,30,64,11,7,20,1605,1242,2847,101,83,185,322,318,636,12,12,24,19,11,26,352,336,692,1297,1005,2302,146,118,265,1395,1071,2471,61,59,122,1370,1060,2425,12,11,21,139,161,300,32,22,52,9,7,15,26,48,70,491,445,941,111,75,192,354,219,577,86,39,128,118,56,170,8,10,15,1207,1094,2305,1556,636,2193
LGA32500,2273,1950,4226,133,122,258,237,291,526,111,84,194,159,127,291,264,270,528,275,232,507,317,249,563,335,348,686,341,166,506,91,50,136,18,18,31,2073,1809,3883,200,141,346,407,429,838,17,11,35,31,32,62,452,474,927,1604,1366,2977,285,297,575,1692,1451,3148,182,197,378,1811,1559,3365,25,10,36,199,228,428,36,37,77,9,16,17,22,48,75,605,658,1265,136,138,274,488,347,836,124,69,199,134,60,191,19,4,25,1780,1608,3389,1773,1095,2865
LGA32600,148,145,294,10,9,14,16,27,43,4,0,4,11,8,24,21,18,37,22,23,45,20,26,49,32,20,49,8,10,20,3,3,4,4,0,4,131,137,267,16,10,27,21,22,47,0,0,0,0,3,7,18,29,47,96,100,197,0,9,11,107,105,213,0,4,4,102,104,204,0,0,0,14,24,37,0,0,0,0,0,0,0,0,6,19,26,52,3,6,15,35,31,68,5,7,11,7,9,10,3,0,3,106,107,214,105,62,163
LGA32750,150,142,291,15,11,25,15,12,29,17,14,32,20,13,38,22,26,43,18,17,33,18,23,42,18,14,36,9,5,17,0,0,0,0,0,0,112,127,235,38,12,52,25,20,43,0,0,0,0,0,0,25,20,43,119,97,217,8,10,18,125,111,239,6,5,8,127,107,236,0,3,3,11,12,23,5,3,9,7,0,9,4,0,11,51,50,103,13,15,21,26,16,48,9,4,14,7,5,14,0,0,0,110,105,217,130,120,250
LGA32770,707,692,1405,95,78,175,219,153,369,47,75,119,69,54,126,96,127,222,87,85,177,39,59,102,39,39,80,13,15,24,5,3,12,0,0,0,672,656,1331,33,35,71,656,646,1304,0,4,4,3,4,5,663,650,1312,684,679,1359,17,7,23,658,641,1295,39,38,76,690,673,1364,21,19,37,203,139,346,10,35,42,0,0,0,3,3,7,55,69,129,46,61,105,164,226,390,40,33,74,62,47,109,3,3,7,704,694,1395,39,35,75
LGA32810,5960,5758,11714,333,284,619,714,601,1314,274,257,529,247,268,511,707,810,1520,776,800,1573,896,915,1810,989,904,1893,665,595,1259,298,237,535,72,86,159,5611,5488,11100,348,270,617,335,359,690,30,21,52,73,73,148,443,456,895,3982,3630,7612,1110,1246,2352,4788,4488,9280,395,465,862,4648,4358,9002,47,48,101,594,494,1082,137,142,278,18,37,53,76,176,250,2083,2327,4411,473,471,938,1150,908,2051,243,181,426,207,142,352,8,4,20,4908,4759,9666,3857,4066,7923
LGA33100,435,369,799,29,27,58,44,51,94,18,13,32,19,10,27,53,56,112,37,40,74,66,56,126,74,54,127,71,42,108,26,15,41,0,4,3,397,326,724,40,41,82,18,20,38,0,4,3,0,0,0,23,18,44,361,290,651,24,32,55,383,317,702,4,9,11,378,314,699,3,3,9,36,39,75,3,3,10,0,0,3,4,7,13,83,85,167,14,20,39,122,91,209,36,20,53,50,30,79,4,5,11,389,325,711,281,238,521
LGA33200,777,756,1536,53,57,115,76,72,151,45,29,70,59,46,103,92,93,179,80,79,156,112,112,223,121,98,215,95,110,206,36,41,78,12,21,28,702,695,1393,81,64,141,48,45,92,0,0,0,5,3,7,48,48,99,659,642,1303,36,35,75,709,685,1397,8,13,17,699,667,1363,8,8,14,70,67,134,18,13,31,7,3,7,3,12,19,188,231,420,54,43,91,213,170,381,43,35,79,80,68,148,8,8,17,675,674,1349,193,162,350
LGA33220,49773,51730,101504,2495,2434,4930,6252,5859,12112,2834,2734,5564,2204,2069,4275,4221,4469,8687,5121,5584,10698,6086,6851,12938,7402,8170,15576,8103,8031,16133,4007,4009,8018,1046,1513,2553,46348,49050,95402,3427,2676,6099,1961,1877,3836,94,90,182,112,95,206,2165,2062,4231,38906,39967,78874,6581,7575,14162,43966,46105,90068,1412,1951,3367,43212,45508,88722,446,403,850,5593,5284,10878,1709,1750,3461,236,396,636,656,1766,2419,12694,14893,27591,3482,3554,7037,12977,14061,27043,3346,3248,6596,3458,3163,6619,174,125,297,44302,47301,91606,6793,6256,13046
LGA33360,31647,29989,61640,2321,2281,4606,4748,4593,9338,2038,1760,3803,1893,1739,3638,4141,4414,8552,4470,4376,8849,4831,4380,9209,3994,3275,7270,2175,1980,4150,849,873,1721,186,325,509,29153,28291,57449,2494,1703,4194,1099,1110,2205,35,47,82,102,108,209,1239,1261,2503,24545,23206,47753,4483,4436,8921,27352,25925,53274,1901,1945,3846,26829,25279,52106,347,334,682,4279,4179,8465,1211,1139,2359,197,328,520,455,1236,1698,9612,10431,20046,2641,2208,4854,7276,6185,13458,1503,1147,2644,1155,1022,2176,68,44,114,27958,27288,55247,4510,3193,7704
LGA33430,270141,285586,555721,16804,16178,32978,34851,33028,67874,17242,16903,34146,18332,18929,37264,37081,39337,76418,36974,39593,76569,36004,38965,74972,30231,33851,64086,25601,27312,52921,12661,14181,26838,4345,7302,11643,257177,274335,531511,12963,11246,24216,4106,4378,8493,240,209,450,160,183,345,4508,4775,9283,173936,181071,355007,74625,82559,157183,218584,228312,446894,31397,36750,68148,211035,222825,433852,3430,3291,6721,31625,30102,61729,11780,12312,24087,5837,7020,12855,7462,12805,20273,112108,124112,236229,19670,19753,39425,48294,51838,100129,10908,10767,21673,6530,7251,13783,700,791,1492,244583,260379,504964,32153,34812,66966
LGA33610,5340,5288,10630,369,361,733,812,726,1537,296,296,595,273,271,547,597,697,1292,596,644,1240,726,676,1403,758,656,1412,529,540,1069,300,288,591,85,129,216,4942,4941,9880,402,342,747,258,295,552,3,3,8,7,5,16,267,298,574,4437,4375,8814,290,343,631,4624,4616,9236,179,168,345,4649,4581,9233,46,59,104,684,629,1321,156,183,336,27,47,70,46,154,201,1427,1803,3230,285,290,580,1225,1057,2277,302,204,507,364,289,658,20,15,29,4603,4593,9205,847,758,1603
LGA33620,24578,24985,49559,1376,1259,2638,3314,3099,6417,1454,1367,2817,1105,1062,2171,2127,2334,4459,2453,2758,5210,3347,3630,6976,3812,3912,7719,3587,3420,7007,1579,1533,3108,427,616,1037,22886,23634,46526,1690,1346,3033,827,770,1598,46,55,103,31,37,69,903,862,1771,19806,19873,39681,2496,2839,5342,22012,22313,44326,546,711,1256,21609,22018,43623,220,185,407,2972,2749,5721,857,864,1728,131,188,317,270,847,1110,6175,7416,13591,1686,1753,3435,6391,6429,12816,1705,1342,3046,1723,1480,3208,72,55,132,22157,22782,44940,2501,2390,4891
LGA33800,5556,5332,10885,240,230,468,646,585,1239,365,283,647,256,192,449,443,403,842,514,539,1053,747,773,1521,899,826,1728,806,707,1518,477,520,994,161,253,414,5250,5069,10313,305,259,569,297,243,539,54,13,68,34,23,54,386,282,660,4579,4303,8883,497,553,1052,4743,4549,9289,401,393,787,5044,4803,9850,34,38,69,586,521,1109,239,178,414,29,39,69,36,109,147,1563,1549,3112,413,337,750,1346,1335,2677,291,269,556,536,531,1063,30,28,51,4904,4845,9747,954,777,1726
LGA33830,499,423,918,61,38,103,93,72,157,47,50,89,38,40,81,70,72,139,75,56,130,53,45,101,40,27,69,10,16,28,11,8,17,7,0,7,445,394,840,56,26,85,448,399,844,0,0,0,5,3,9,452,403,853,472,410,876,13,3,15,81,56,141,368,329,695,477,415,890,16,7,20,84,59,144,6,10,17,0,0,3,6,9,13,70,81,151,42,53,92,104,87,192,35,39,66,50,31,80,3,0,3,418,389,807,73,36,107
LGA33960,95797,97937,193733,8389,7819,16211,15172,14543,29717,6896,6562,13460,6944,6989,13931,14403,15608,30018,12896,13318,26216,12008,12371,24379,9436,9629,19058,6041,6298,12336,2776,3395,6165,835,1409,2246,91382,94322,185696,4420,3617,8040,3831,3863,7689,220,179,403,168,169,338,4224,4204,8429,69998,71241,141232,19060,19950,39009,78590,79978,158562,10763,11755,22518,79243,81168,160412,1261,1167,2425,13732,13200,26938,4327,4415,8737,1280,1828,3106,2271,4551,6820,32684,36596,69279,6577,6099,12670,18136,18248,36383,4254,3741,7996,3868,4227,8102,416,494,912,87969,90806,178768,6651,6399,13046
LGA33980,11419,9516,20940,1036,991,2034,1679,1586,3270,511,509,1020,647,631,1273,2119,1895,4014,1990,1479,3470,1609,1177,2783,1202,751,1948,473,325,797,130,128,255,26,49,72,10596,8917,19508,826,600,1425,302,317,620,40,36,68,25,36,56,366,379,744,8374,7233,15606,1048,1047,2098,9078,7929,17007,451,466,921,8917,7707,16625,141,145,288,1470,1376,2845,269,308,578,40,71,109,160,373,531,3096,3404,6503,740,517,1256,2301,1554,3856,428,280,707,331,187,523,20,9,33,8610,8114,16722,10349,2690,13036
LGA34420,451,493,944,52,35,87,78,89,167,42,33,69,33,43,82,70,88,154,62,69,133,54,64,119,45,49,95,21,14,35,0,0,5,0,3,7,429,475,903,22,24,43,399,443,836,0,6,8,3,5,12,403,454,856,440,482,922,10,8,17,409,456,865,26,31,56,448,487,932,0,3,3,77,81,156,15,6,22,0,0,0,8,4,10,69,79,149,48,81,131,121,128,246,17,16,37,46,48,96,0,4,4,401,464,864,54,43,92
LGA34530,18621,17649,36272,1079,954,2035,2560,2256,4815,1213,1137,2345,1017,813,1833,1908,1806,3717,2293,2184,4481,2690,2668,5354,2713,2584,5298,1969,1856,3828,888,980,1868,289,404,694,16665,16605,33274,1955,1039,2996,780,613,1388,65,25,94,80,46,126,924,679,1607,15098,14306,29404,1733,1919,3651,16043,15881,31929,424,503,926,15707,15539,31248,143,151,292,2330,2053,4384,773,764,1541,150,204,350,249,561,814,5255,6208,11462,1265,1213,2479,4352,4036,8384,919,758,1677,919,843,1762,41,24,64,15554,16061,31609,2687,1975,4660
LGA34570,357,360,712,52,33,83,67,76,141,29,27,62,33,35,62,48,66,110,48,31,87,36,45,85,27,25,54,13,13,26,4,3,10,0,0,0,327,335,662,27,21,50,232,256,487,0,3,9,77,63,137,310,322,629,336,340,675,4,5,12,167,184,354,135,134,269,339,341,679,4,3,11,40,45,84,4,0,4,4,0,4,0,4,4,44,57,107,36,37,72,61,52,121,26,36,62,21,27,48,3,10,10,310,320,634,72,54,126
LGA34580,19298,19309,38609,1219,1109,2324,2730,2493,5219,1358,1362,2721,1220,1379,2599,2321,2335,4650,2262,2337,4595,2655,2781,5435,2434,2374,4809,2020,1931,3945,872,849,1717,216,365,587,18310,18439,36746,988,867,1860,731,654,1385,25,28,53,38,29,68,798,712,1508,15240,14937,30174,2412,2598,5010,16397,16528,32920,1117,1252,2369,16312,16492,32806,188,167,350,2478,2236,4713,815,897,1712,246,515,759,330,772,1101,5115,6420,11532,1114,1136,2245,4546,4278,8822,1162,891,2059,1402,1218,2617,100,49,150,17221,17378,34602,1773,1756,3528
LGA34590,149901,153480,303386,11743,11368,23109,23274,22152,45424,11036,10416,21444,10720,10312,21029,20778,21942,42713,20280,21072,41352,18890,20095,38980,15930,17038,32961,11543,11915,23460,4447,5103,9550,1267,2089,3357,143592,147944,291533,6313,5541,11851,4192,4430,8621,310,327,636,273,289,558,4773,5041,9817,99239,100419,199656,40356,42522,82883,117003,119046,236052,23480,24881,48370,119028,122192,241218,1897,1824,3716,20842,19984,40824,6849,7029,13881,2060,2662,4721,3111,6097,9214,52181,57681,109864,10534,10177,20716,28935,28927,57864,7139,6353,13489,5736,5915,11650,1175,1342,2521,139676,143054,282728,8279,9051,17333
