LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA33610,4156,4201,8356,2112,1082,3193,357,1014,1369,136,151,291,106,82,187,2713,2325,5043,1003,1456,2455,3.9,3.5,3.7,65.3,55.3,60.4,62.7,53.5,58.1,37,35,70,18,60,74,220,513,733,238,351,589,897,463,1361,33,65,99,71,83,152,1003,611,1611,3950,3904,7855,724,755,1480,2705,2620,5334,1687,1766,3454
LGA33620,19878,20624,40504,6409,3342,9750,2130,4486,6619,577,556,1133,1024,842,1871,10142,9227,19370,7970,9677,17649,10.1,9.1,9.7,51,44.7,47.8,45.9,40.7,43.2,201,219,412,133,295,429,872,1721,2592,1066,1944,3011,5650,2722,8368,292,413,709,360,478,831,6295,3608,9905,18443,18637,37076,3482,3736,7219,12365,12250,24615,8606,9276,17884
LGA33800,4669,4506,9178,2019,822,2841,353,1092,1448,145,129,273,163,129,289,2683,2169,4853,1613,1965,3578,6.1,5.9,6,57.5,48.1,52.9,53.9,45.3,49.7,27,39,66,22,36,58,201,350,557,166,290,455,1466,500,1971,27,75,106,47,80,126,1541,657,2195,4551,4308,8859,502,492,997,3498,3354,6852,1323,1294,2617
LGA33830,352,313,658,99,58,157,30,34,61,3,3,5,87,69,158,222,168,387,84,124,209,39.2,41.1,40.8,63.1,53.7,58.8,37.5,30.4,33.9,0,0,0,4,4,6,3,11,12,5,12,19,93,56,154,14,13,25,6,3,4,107,78,185,425,361,783,23,20,45,322,304,626,77,48,120
LGA33960,72237,75578,147814,34327,20501,54830,8054,16844,24899,2131,2428,4558,4282,4032,8316,48796,43806,92597,18502,26801,45301,8.8,9.2,9,67.5,58,62.6,61.6,52.6,57,1360,1537,2902,645,1194,1837,4936,8053,12989,5124,7668,12790,19615,11063,30674,939,1424,2367,1218,1797,3010,21774,14281,36052,69326,71004,140328,16803,17575,34377,41432,41742,83168,39262,41882,81141
LGA33980,8699,6937,15641,5036,2134,7168,560,1559,2119,395,285,682,230,288,517,6229,4260,10490,848,1793,2635,3.7,6.8,4.9,71.6,61.4,67.1,68.9,57.3,63.7,88,77,167,60,88,147,483,824,1307,335,464,800,2628,1005,3633,87,148,238,98,158,254,2814,1311,4123,7261,6194,13455,1939,1932,3869,3777,2939,6717,4692,4490,9182
LGA34420,321,371,694,86,57,139,27,57,81,5,0,5,68,67,133,182,176,363,119,175,299,37.4,38.1,36.6,56.7,47.4,52.3,36.8,30.7,32.4,3,4,5,0,3,3,3,10,17,5,4,12,53,26,82,8,14,23,6,0,4,69,46,112,405,445,843,21,36,59,342,391,741,48,53,102
LGA34530,14985,14434,29418,6044,3482,9526,1395,3539,4939,509,453,966,746,579,1331,8695,8055,16755,4849,5249,10099,8.6,7.2,7.9,58,55.8,57,53,51.8,52.5,248,265,514,169,290,452,879,1748,2624,818,1192,2011,4487,1800,6283,135,253,384,217,298,514,4831,2353,7184,13340,13226,26565,2591,2677,5264,8648,8352,16996,6627,6949,13574
LGA34570,242,252,493,54,41,88,26,36,66,20,9,30,18,17,33,120,103,224,85,114,194,15,16.5,14.7,49.6,40.9,45.4,41.3,34.1,37.3,3,0,3,0,3,4,5,9,15,5,8,10,32,16,45,3,4,8,3,7,10,39,19,64,286,308,592,24,23,46,238,259,494,44,54,97
LGA34580,15355,15710,31063,6184,3345,9525,1635,3623,5253,498,483,981,709,681,1393,9019,8132,17154,5112,6289,11398,7.9,8.4,8.1,58.7,51.8,55.2,54.2,47.4,50.7,209,261,467,82,218,294,770,1414,2185,775,1371,2141,3795,1919,5714,178,308,484,254,333,582,4218,2562,6779,14322,14271,28592,2779,3061,5834,9355,9186,18544,6751,7260,14008
