LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA35300,3,0,3,12,4,15,0,0,3,0,0,0,30,47,72,3524,2882,6397,306,349,660,59,0,63,152,8,158,110,26,129,27,17,41,222,225,447,4446,3558,8006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,29,66,47,27,70,0,0,0,0,0,0,3,3,8,3,3,8,40,101,138,399,364,763,66,54,115,5005,4104,9108
LGA35600,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,582,570,1159,66,85,152,32,0,32,23,11,25,23,8,33,21,6,31,70,81,151,821,770,1592,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,9,9,17,0,0,0,0,0,0,0,0,0,0,0,0,129,108,241,55,112,166,16,19,32,1035,1014,2046
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,30,85,13,11,22,0,0,0,0,0,0,0,0,0,0,0,0,19,7,24,88,43,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,3,9,0,0,0,98,55,153
LGA35740,23,15,40,179,164,340,3,4,4,0,0,3,18,5,21,7192,6832,14030,424,579,1003,196,3,202,201,33,238,134,51,184,162,79,243,336,336,670,8866,8114,16973,3,0,4,0,0,0,0,0,0,12,11,18,0,0,0,0,0,0,10,14,25,0,0,0,0,0,0,5,7,13,15,23,35,3,0,3,23,27,52,85,48,127,125,86,209,5,3,10,3,3,11,3,4,8,13,11,22,1003,1296,2293,944,1316,2258,130,113,249,11070,10935,22007
LGA35760,0,0,0,71,27,104,0,0,0,0,0,0,0,0,0,1255,1071,2321,100,157,251,60,3,65,19,3,20,17,4,25,47,20,65,204,185,390,1776,1472,3245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,8,0,9,23,7,26,26,3,36,0,0,0,0,0,0,0,0,4,3,0,3,334,284,615,139,207,343,52,33,88,2335,1999,4334
LGA35780,0,0,0,9,13,22,0,0,0,0,0,0,0,0,0,166,166,328,53,73,127,0,0,0,0,0,0,0,0,0,0,0,0,82,125,205,318,374,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,3,17,14,22,19,14,31,0,0,0,0,3,3,0,0,0,0,3,3,8,14,22,24,20,41,6,10,23,371,424,804
LGA35790,0,0,0,7,11,16,0,0,0,0,0,0,0,0,0,76,59,142,44,54,95,0,0,0,0,0,0,0,0,0,0,0,3,86,108,200,223,231,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,3,8,8,237,252,487
LGA35800,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,190,189,377,12,18,30,3,0,5,5,3,15,0,3,4,9,10,20,41,51,88,268,264,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,6,0,0,0,0,0,0,0,0,4,0,0,4,64,52,123,20,31,50,5,3,9,366,358,720
LGA36070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,34,9,4,13,3,0,4,0,0,0,3,0,3,4,0,3,70,64,137,99,91,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,7,5,0,4,115,95,212
LGA36150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,99,213,5,5,17,11,0,15,0,0,0,5,0,3,11,8,15,32,42,76,181,155,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,31,64,19,20,31,10,3,12,248,204,452
