LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA35250,0,4,10,8,9,3,0,0,0,27,0,3,10,3,7,0,0,0,0,22,0,0,4,5,5,7,0,0,0,19,0,0,4,0,0,3,0,0,0,11,0,0,8,6,3,0,0,0,0,20,0,0,0,0,0,3,0,0,0,4,35,13,33,19,15,10,5,3,0,139,105,83,182,146,134,77,47,17,0,793
LGA35300,20,162,292,195,229,135,41,8,0,1077,8,119,302,208,179,89,32,0,0,947,3,77,266,185,178,114,21,0,0,839,0,71,247,182,185,105,20,3,0,808,3,86,674,484,425,204,29,0,0,1910,5,3,105,154,143,69,14,0,0,497,171,182,497,318,393,270,142,48,19,2031,1118,1398,3526,2596,2532,1708,902,335,80,14193
LGA35600,4,36,79,64,66,46,21,3,0,322,5,11,47,39,30,43,8,0,3,185,3,10,34,28,40,38,4,0,0,152,0,3,17,19,17,28,5,0,0,93,0,0,25,24,24,20,12,0,0,104,0,5,9,9,11,15,10,0,0,53,26,32,52,38,60,57,56,50,27,388,224,267,533,496,598,601,364,221,102,3411
LGA35670,0,0,4,3,5,0,0,0,0,18,0,4,6,0,10,3,0,0,0,27,0,0,0,5,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,6,0,5,3,4,3,0,0,0,0,15,0,0,0,5,0,0,0,0,0,11,3,3,3,3,0,0,0,0,0,22,84,99,136,120,124,70,28,10,0,665
LGA35740,11,99,439,648,838,711,405,120,40,3320,0,33,245,452,540,455,230,66,18,2033,3,14,186,428,515,420,169,61,15,1815,0,7,96,224,315,242,105,26,6,1017,0,6,114,324,440,299,181,43,11,1421,0,3,66,227,309,263,202,58,18,1152,230,151,267,515,583,637,680,432,382,3884,2838,1846,3887,6144,7959,8442,7647,3565,1373,43702
LGA35760,9,36,99,95,115,121,66,14,3,559,0,11,52,52,73,51,24,3,0,274,0,7,33,54,65,42,17,5,0,228,0,3,17,28,60,27,9,3,0,148,0,0,37,49,42,29,13,4,0,179,0,0,8,24,24,22,21,7,0,107,72,64,145,159,196,200,241,163,83,1321,538,444,1051,1091,1467,1525,1442,772,292,8625
LGA35780,0,3,33,15,14,10,0,0,0,81,0,5,18,14,14,14,0,0,0,69,0,0,16,15,10,8,0,0,0,49,0,0,5,5,3,4,3,0,0,26,0,0,5,7,8,9,0,0,0,38,0,0,3,0,0,4,0,0,0,12,29,10,20,24,19,12,3,0,0,114,246,241,401,307,277,190,82,13,6,1768
LGA35790,0,4,19,5,13,9,0,0,0,50,0,0,8,4,12,8,0,0,0,32,0,0,5,3,13,8,0,0,0,27,0,0,0,0,3,3,0,0,0,15,0,0,0,4,7,8,0,0,0,21,0,0,3,0,0,0,0,0,0,5,12,9,19,9,18,0,0,0,0,80,223,232,347,268,325,199,69,8,0,1662
LGA35800,0,10,27,18,24,17,9,0,0,97,0,3,20,16,9,10,3,3,0,67,0,4,13,5,9,12,3,0,0,44,0,0,3,14,6,8,0,0,0,31,0,0,5,4,13,3,0,0,3,24,0,0,0,3,4,5,8,0,0,17,8,9,15,21,20,38,21,14,8,147,67,83,176,164,234,294,198,89,29,1325
LGA36070,0,0,5,4,3,0,0,0,0,10,0,0,5,3,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,11,0,0,0,7,4,3,0,0,0,14,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,3,5,3,0,0,0,0,24,50,53,100,122,109,64,41,9,0,553
