LGA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA31900,14,145,819,3154,1320,164,23,137,5781,0,4,26,4,0,0,0,0,37,0,0,11,0,0,0,0,0,8,0,4,33,4,0,0,0,0,43,11,76,354,50,7,0,0,25,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,75,354,47,7,0,0,25,522,26,58,19,16,3,0,3,19,138,0,3,4,11,3,3,0,29,51,53,283,1236,3224,1339,172,27,205,6530
LGA31950,0,5,10,39,0,0,3,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,13,0,6,0,3,0,0,0,3,9,3,13,11,43,3,0,3,5,91
LGA32080,69,380,2520,18109,15017,2404,553,856,39903,25,346,1778,493,52,5,5,129,2832,28,274,1760,312,37,8,7,73,2511,54,616,3540,814,87,10,15,202,5334,125,1237,3196,461,58,10,5,253,5340,36,465,1914,636,16,0,4,105,3176,17,116,548,346,13,0,0,29,1065,0,3,6,5,0,0,0,0,9,178,1817,5661,1446,85,8,10,382,9591,116,168,93,58,29,3,8,72,541,10,53,105,75,41,4,10,120,422,431,3033,11920,20495,15258,2430,587,1628,55790
LGA32250,8,46,117,243,60,16,8,26,523,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,8,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,0,0,0,0,26,15,31,14,6,3,0,0,10,77,6,3,5,9,3,0,0,0,25,27,91,147,259,69,14,10,34,655
LGA32260,56,281,1449,4858,1921,305,74,243,9198,0,26,115,30,8,0,0,9,186,0,0,30,11,0,0,0,3,46,0,25,143,35,6,0,0,13,226,3,104,448,81,11,3,0,40,688,0,9,10,3,0,0,0,0,24,0,0,9,13,3,0,0,0,21,0,3,0,0,0,0,0,0,3,3,110,475,100,9,3,0,40,742,47,127,95,40,15,0,0,41,377,3,20,14,25,12,5,3,6,87,115,560,2175,5057,1968,318,79,345,10621
LGA32270,53,240,486,3109,2830,499,127,186,7524,0,0,109,121,12,0,0,9,249,0,3,18,42,4,0,0,3,71,0,3,122,166,16,0,0,7,322,0,62,263,143,21,3,0,18,512,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,263,146,21,6,0,21,515,49,95,32,21,14,3,3,21,238,11,37,64,95,76,13,3,22,311,119,433,967,3537,2948,522,128,257,8906
LGA32310,18,125,657,1719,959,184,60,123,3835,0,10,20,22,5,0,5,0,62,0,0,0,0,0,0,0,0,3,0,10,20,23,5,0,5,4,64,0,15,93,12,3,0,0,9,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,15,101,12,3,0,0,9,144,15,30,5,15,7,0,3,7,89,0,4,7,7,7,3,0,7,31,39,176,795,1778,977,184,69,145,4157
LGA32330,0,3,45,84,100,26,7,0,263,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,57,85,100,26,7,0,281
LGA32450,0,17,102,354,178,27,16,25,729,0,0,12,4,0,0,0,0,17,0,0,3,0,0,0,0,0,3,0,0,11,4,0,0,0,0,13,0,23,43,13,0,0,0,11,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,13,0,0,0,11,85,11,19,5,10,5,0,0,8,60,0,0,3,7,4,4,4,0,27,11,67,163,383,198,31,22,42,922
LGA32500,36,134,300,425,151,25,9,54,1128,0,3,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,8,0,24,49,6,0,0,0,7,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,6,0,0,0,7,88,22,39,15,23,3,0,0,38,150,0,10,7,5,0,0,0,0,20,59,207,377,459,158,24,9,101,1400
