LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA35010,867,1755,1184,731,955,220,95,5808,130,112,70,55,70,11,8,455,44,62,40,24,35,8,7,218,1612,3242,2419,1700,2387,626,275,12251,163,295,192,116,151,32,8,955,232,399,194,92,100,13,10,1041,396,694,382,207,248,42,19,1992,2010,3939,2804,1907,2636,670,293,14245,2693,2555,1372,763,751,164,80,8371,37,60,29,13,4,3,0,146,4741,6544,4208,2680,3389,831,370,22762
LGA35250,0,7,3,3,3,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,21,9,5,4,0,0,46,3,9,3,3,0,0,0,15,3,0,0,0,0,0,0,3,6,9,3,3,0,0,0,21,14,27,11,8,4,0,0,64,15,13,9,6,3,0,0,49,5,11,9,3,0,0,0,26,34,48,31,17,4,0,0,139
LGA35300,27,54,28,17,24,0,0,147,6,3,0,3,3,0,0,12,0,5,3,0,0,0,0,7,77,149,96,62,81,3,0,477,14,15,5,9,3,0,0,47,12,11,7,5,4,0,0,40,27,21,16,14,12,0,0,90,102,171,114,77,95,3,0,567,163,127,60,42,26,0,0,417,4,13,4,7,0,0,0,26,271,309,180,119,124,3,0,1005
LGA35600,9,11,8,5,4,0,0,37,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,13,30,8,14,16,0,0,80,0,6,0,0,0,0,0,10,4,0,0,0,0,0,0,3,4,6,3,0,0,0,0,13,18,34,10,11,18,0,0,92,31,28,24,20,8,0,0,112,6,0,0,0,0,0,0,4,57,63,31,33,26,0,0,217
LGA35670,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,3,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,8,5,6,3,0,0,20,16,17,12,11,3,0,0,60,0,0,0,0,0,0,0,0,19,27,17,10,3,0,0,86
LGA35740,93,257,201,114,151,17,9,846,3,7,4,4,0,0,0,13,0,3,3,5,5,0,0,15,114,373,332,223,302,42,17,1398,7,18,15,11,5,4,0,62,9,29,25,15,12,3,6,96,18,46,42,22,21,6,8,163,136,416,368,243,323,45,17,1560,161,190,117,73,87,9,9,640,0,0,8,3,3,0,0,9,296,610,490,320,417,55,34,2213
LGA35760,20,27,25,18,19,0,0,109,3,0,0,0,0,0,0,5,0,0,3,0,3,0,0,11,31,51,41,23,33,3,0,187,0,7,8,3,3,0,0,22,0,3,0,0,0,0,0,4,4,13,3,3,3,0,0,22,31,59,51,28,41,3,0,213,56,61,32,17,13,0,0,185,3,3,0,0,0,0,0,8,94,123,85,51,52,3,0,402
LGA35780,8,15,5,6,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,30,36,20,17,12,0,0,112,12,13,4,4,0,0,0,34,5,3,3,0,0,0,0,12,13,17,9,3,0,0,0,43,39,55,26,19,13,0,0,158,74,54,26,18,16,0,0,193,0,0,0,0,0,0,0,0,116,113,53,38,33,0,0,347
LGA35790,3,14,7,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,26,17,6,5,0,0,60,3,0,0,0,0,0,0,9,5,10,3,3,0,0,0,18,8,7,3,6,0,0,0,23,20,35,18,5,5,0,0,83,96,60,39,18,7,0,0,225,0,0,0,0,0,0,0,0,113,94,61,20,12,0,0,310
LGA35800,3,3,3,0,0,0,0,11,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,17,10,3,4,0,0,51,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,4,0,0,0,0,0,0,7,19,23,11,7,4,0,0,59,29,16,9,5,6,0,0,68,0,0,0,3,0,0,0,3,46,36,23,16,9,0,0,128
