LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA35790,0,0,0,230,236,471,0,0,0,60,65,122,0,0,0,623,606,1233,0,0,0,0,0,0,20,12,30,0,0,0,0,0,0,0,0,0,100,112,209,7,10,22,0,0,0,0,0,0,0,3,8,23,30,50,0,4,10,0,0,0,1070,1092,2166,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,5,8,6,3,13,94,98,191,0,0,0,0,0,0,94,98,191,39,34,73,1209,1235,2446
LGA35800,0,6,6,237,237,474,0,0,0,3,3,6,0,0,0,232,278,514,0,0,0,0,3,5,3,9,13,0,0,0,4,3,8,0,0,0,3,3,4,4,9,16,13,18,38,0,0,0,0,3,3,32,40,69,9,14,22,0,0,0,543,630,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,176,109,286,4,0,3,3,0,3,183,112,298,85,79,163,815,824,1640
LGA36070,0,3,6,278,278,554,0,0,0,0,3,3,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,309,306,613,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,50,42,96,0,0,0,0,0,0,46,42,96,16,16,31,375,378,749
LGA36150,0,0,3,104,104,207,0,0,0,0,3,3,0,0,0,159,125,283,0,0,0,0,4,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,0,4,9,10,17,0,0,0,0,0,0,19,24,39,5,8,14,0,0,0,312,271,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,79,166,3,3,3,0,0,3,94,77,168,31,24,58,436,377,813
LGA36250,504,805,1307,12150,14177,26325,0,3,4,1934,2194,4125,39,39,76,14736,16345,31081,111,119,234,511,562,1066,317,389,710,349,369,719,741,941,1685,18,9,26,326,366,696,886,1018,1902,2379,2547,4923,190,252,441,173,243,415,3960,4959,8927,2033,2290,4321,219,233,449,41070,47069,88137,310,322,633,214,200,406,57,52,106,12,10,22,149,148,301,180,302,478,339,458,800,23444,20349,43798,260,203,464,115,152,268,23818,20714,44527,5684,5415,11102,71985,75022,147010
LGA36300,0,0,0,110,114,223,0,0,0,3,4,7,0,0,0,145,119,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,25,0,0,0,0,0,0,20,27,46,5,6,13,0,0,0,295,289,587,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,73,57,130,0,0,0,0,0,0,73,60,135,35,28,65,410,378,791
LGA36370,280,400,675,6501,7427,13925,0,3,3,888,991,1876,9,8,18,10064,10936,20998,44,38,74,57,58,116,179,228,403,131,136,268,255,309,564,5,7,14,122,160,284,564,668,1230,1552,1690,3243,213,318,533,83,101,185,2421,3063,5485,1027,1151,2180,36,41,74,24147,27329,51480,342,260,601,310,166,475,13,8,20,20,27,47,73,71,145,116,143,258,210,239,450,9801,8280,18081,144,104,245,48,44,98,10000,8425,18419,4102,3497,7597,39402,40321,79726
LGA36510,118,165,283,3529,3976,7505,0,0,0,420,477,901,3,3,11,3495,3886,7378,152,155,310,50,45,96,145,170,318,43,34,79,512,516,1022,3,0,3,60,64,122,217,262,477,577,610,1187,95,122,215,91,96,184,1404,1504,2904,585,707,1294,29,35,65,11398,12655,24058,33,32,63,9,10,25,11,18,31,11,7,22,9,12,21,71,128,195,91,143,239,5658,5089,10749,64,54,116,38,56,94,5755,5200,10957,2337,2087,4427,19761,20308,40072
LGA36580,91,121,213,2375,2461,4837,0,0,0,244,254,503,0,0,4,2098,2137,4235,22,25,52,27,23,53,65,90,154,29,39,72,483,483,961,0,0,0,36,54,86,99,128,225,367,396,754,52,46,95,46,48,92,863,953,1809,317,355,669,102,127,229,7227,7608,14837,9,9,21,33,13,42,3,4,11,0,0,0,8,9,12,34,57,87,39,66,100,3551,3023,6574,30,37,68,21,25,44,3599,3085,6679,1376,1305,2690,12381,12215,24597
LGA36630,85,95,176,2619,2843,5459,0,0,0,351,383,739,0,0,0,2652,2893,5544,72,80,154,14,12,27,127,169,298,54,59,110,783,787,1572,0,0,0,65,72,132,156,198,356,583,559,1144,97,109,209,78,82,158,1337,1480,2817,584,659,1241,56,68,127,9636,10453,20092,16,28,44,13,17,22,8,8,18,3,0,8,7,7,12,55,88,142,68,99,162,4353,3730,8085,47,26,71,28,36,63,4432,3792,8220,1855,1586,3440,16111,16071,32186
